 	non	ha	da	mangiare	</S>
e	0.655647362	0.13996521986	0.0131707010343	0.0557439283228	0.135472873387
n	0.420043247673	0.348307992387	0.051333840107	0.0553812289035	0.124933752922
è	0.161128214231	0.635977666796	0.0722903037023	0.0525539249345	0.0780499115065
c	0.0820058570103	0.761309622265	0.0649741808341	0.0400899068315	0.0516204320222
h	0.0603245468141	0.698514028755	0.115574266878	0.0654363869972	0.0601507748741
i	0.0377753413167	0.445873343185	0.368041201626	0.0791625240991	0.0691476042914
n	0.0214108758596	0.188063997662	0.586027181875	0.111146650933	0.0933513036261
a	0.0162863977152	0.0850606710207	0.520198177958	0.272592263978	0.105862487364
f	0.0118670009084	0.0355550117402	0.396514250653	0.438491827526	0.117571888968
à	0.0090935041967	0.0191736665774	0.254673856484	0.585347887175	0.131711058503
i	0.0040333234328	0.00910305522313	0.114997177128	0.666762472392	0.205103886434
</S>	0.0028341946674	0.00561939806156	0.067675394614	0.639299488196	0.284571401017
