 	voglio	un	forno	che	vende	rustici	</S>
t	0.7529159916	0.1000339249	0.015761573847	0.0174406287649	0.080232317176	0.0075159618487	0.0260995247871
è	0.792272910933	0.0870080586333	0.0163784414603	0.0133098262807	0.0711540768157	0.00469046978101	0.015186142645
l	0.753693886311	0.145883261811	0.0178339415181	0.00681532363797	0.0411023163696	0.00664014912912	0.0280311268861
o	0.479746936517	0.41717079527	0.028936713906	0.00540541753799	0.0309078286299	0.00795569029169	0.0298766955807
è	0.210410345052	0.678844699757	0.072883918702	0.004409941408	0.01518718644	0.00434646338026	0.0139175255064
n	0.082146854804	0.742872385919	0.132510900901	0.00704815364133	0.011064424002	0.00368778730913	0.0206695487675
a	0.033945949102	0.598138445973	0.294156045634	0.0403718104238	0.00935715282733	0.00330877286638	0.0207218169316
f	0.0156394168263	0.321827256258	0.488330154545	0.0861826522613	0.0192830181904	0.00826297742079	0.0604745115825
ù	0.0101108838917	0.184695984019	0.578316358182	0.0894456363538	0.0436851747435	0.0130569164889	0.0806890562595
r	0.0078238078339	0.137431371473	0.633536810727	0.0759366513513	0.0628039841945	0.0124427110916	0.0700246768168
n	0.02097234761	0.0932911433577	0.586514642909	0.0680228449504	0.0924908363848	0.0164799289372	0.122228269236
o	0.0240736609817	0.0596453014192	0.410431705903	0.235507578983	0.131403648622	0.0219778860857	0.116960205132
k	0.0111824977689	0.0282286075844	0.294517400234	0.417780273661	0.127494856507	0.0317789241619	0.089017416263
a	0.00758426487796	0.0161400251587	0.211114182231	0.415236757887	0.237185268469	0.0365908508206	0.0761486771133
p	0.00789307660799	0.0111719799548	0.138797803944	0.382157633962	0.323035217823	0.0558863703069	0.0810579384371
u	0.00898417154342	0.00951603952333	0.101870261543	0.278592134721	0.428820460274	0.078344320169	0.0938725992117
l	0.00800309469846	0.00672019172064	0.0604612041623	0.169570596707	0.537054570758	0.142636750523	0.0755536185839
ì	0.00505509628562	0.00563140385555	0.0445280635674	0.103792416716	0.518231130919	0.238484782574	0.0842770808013
r	0.00694818039881	0.00763448756405	0.0306579592958	0.0727683722987	0.48683154664	0.305516837191	0.0896425183338
ù	0.00752204149529	0.00778627816276	0.0236336793053	0.0551431898409	0.369843865347	0.396104672797	0.139966199511
s	0.0101015415971	0.00511038885193	0.0118261125004	0.027317044863	0.246471956116	0.526518498266	0.172654440837
t	0.0150547689035	0.00692612036424	0.0107166072901	0.021602740089	0.191110374972	0.547453120089	0.207136315956
i	0.0155836322348	0.00592480899621	0.00794406433177	0.0135974039528	0.138036798237	0.538301700696	0.280611626795
k	0.0164020695826	0.00778325095807	0.00825786027532	0.0106420170294	0.0709378558857	0.571040479565	0.314936470205
u	0.0125421874146	0.00813157642952	0.00803162939411	0.00915022146447	0.0416231919686	0.532707087855	0.387814139342
</S>	0.00963323060618	0.0047696755982	0.00490129194905	0.00563573776124	0.0250171890543	0.506921546928	0.443121366671
