 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.7056328144	0.14478091595	0.02578848174	0.006117807981	0.0022688125817	0.008229829303	0.00192587113879	0.00444290053625	0.10081255114
n	0.438140067745	0.336210835183	0.0856791280667	0.0189633569537	0.0119718460384	0.00867957283367	0.00248474942126	0.00485708033225	0.0930133855604
ì	0.15702157169	0.622393367728	0.124143876582	0.0222449402472	0.0159746446995	0.00651473862856	0.00251635332675	0.0036101768417	0.0455803491612
c	0.065228579762	0.730057907909	0.133560734154	0.0146689406451	0.00973995297737	0.00391886808839	0.00180873405578	0.00386545811292	0.0371508379633
h	0.042531393096	0.736176679303	0.138928081385	0.012741561851	0.01218732807	0.00753078275586	0.00140648901013	0.00471057077824	0.0437871036971
e	0.0282734613457	0.552334989861	0.324521513462	0.037742561813	0.01344252206	0.0106745004693	0.00112437639224	0.00342198824256	0.0284639979377
t	0.018375942023	0.275057475347	0.560308033821	0.076794675071	0.0253590833767	0.0127054850822	0.00347695340595	0.0030858355048	0.0248364749825
o	0.0161688111402	0.15916171339	0.599919883274	0.152961403957	0.0287585913256	0.0111349823241	0.00450491254932	0.00312719267631	0.0242625527503
r	0.0129895076259	0.0980692397713	0.542678059091	0.215730319852	0.0612358639085	0.0203836084514	0.00975912012577	0.00567393977148	0.0334803119192
ì	0.00914546802543	0.0759195832524	0.436295477697	0.241020739484	0.106986285769	0.0476422037638	0.0128362402819	0.0173252265485	0.0528287580367
s	0.00939062879771	0.0762873904695	0.363122669899	0.308902944228	0.107977310323	0.0491617764679	0.0147445246006	0.0199195833515	0.0504931999169
o	0.0087784853559	0.0567567115083	0.245883275946	0.494794975143	0.103882708974	0.0309535584226	0.0157847947269	0.0100763011836	0.0330891634963
n	0.00448591633812	0.0249501507778	0.140218205295	0.563063000381	0.181312495658	0.0338778850275	0.0109735040156	0.00802681816485	0.0330920749991
t	0.00371402558196	0.0192829878392	0.121164190432	0.452592554127	0.238224911219	0.0500712304958	0.0177602756119	0.0202939698775	0.076895945592
a	0.00218446180986	0.0120195019114	0.0892736796707	0.457713625376	0.25346387974	0.0631752600319	0.0207241972173	0.0227524853712	0.0786929878687
e	0.00102119730837	0.00453718989653	0.0356976410169	0.433070698859	0.319444853913	0.128831868277	0.0242178151058	0.0130485586066	0.0401302930329
m	0.000953009676127	0.00536588215857	0.025945057059	0.32729100882	0.392039711971	0.168528689026	0.0283742369886	0.012845762013	0.0386566889587
a	0.000991033155936	0.00587651195287	0.0231286952697	0.246426970807	0.473655743324	0.156196865275	0.0288423686629	0.0184257958759	0.0464559758906
n	0.00105874693911	0.005038845615	0.0126963082626	0.149120867796	0.520497320441	0.164143299892	0.041919508221	0.0459489953902	0.0595760939055
t	0.0015892859512	0.00714002119143	0.0115748307702	0.094418607792	0.460890549747	0.163039937231	0.049497542407	0.0755792533901	0.136269953021
e	0.00127441382309	0.00540878220902	0.0096112035674	0.080232190984	0.326075072182	0.282126546877	0.0682383799357	0.0710563494834	0.155976982724
ì	0.00080461674185	0.00451391600709	0.00483663115236	0.0532335677133	0.227897881527	0.468426812292	0.0901725615786	0.0702904780215	0.0798235170547
t	0.0013012860721	0.00664497815801	0.00309616406163	0.0332272304664	0.174014917309	0.529671244097	0.0830755842862	0.10029342311	0.0686752521582
s	0.00123963117911	0.00525711484357	0.00261594636883	0.0166601070035	0.118847534236	0.405928621766	0.0573644835887	0.219815315899	0.172271308903
e	0.000551746938649	0.00237581966068	0.00218076299033	0.00915575174979	0.0631445275553	0.308659940989	0.12851883653	0.260540877633	0.224871727458
r	0.00224801521045	0.00432663125108	0.00487546101653	0.00744477554055	0.0570432053284	0.328703334463	0.212282559043	0.193339894878	0.18973610263
e	0.00283188231728	0.00497496374313	0.00549361081418	0.00620294894298	0.0522530741601	0.271821939621	0.272675835461	0.226240431559	0.157505305487
k	0.00206724675415	0.00420147837079	0.0045581109517	0.00427024134565	0.0350796449607	0.19817557394	0.3383940916	0.278192499386	0.135061145404
a	0.00179972986398	0.00391429479372	0.00417979439134	0.00323343537474	0.0268606216769	0.130356766847	0.351272703933	0.350992480195	0.127390226949
v	0.0028711150926	0.00384554452466	0.00406744778842	0.00289466728091	0.0155622205326	0.0830873474957	0.314270109378	0.427381662198	0.146019830165
r	0.00325057609367	0.00383621128749	0.00383550019933	0.00318017903996	0.0120076547711	0.0635821847119	0.198174383819	0.497012302733	0.215120912532
è	0.0012376201912	0.00196363345788	0.00153759857464	0.00309089989345	0.0064699459037	0.0436498440706	0.096714279053	0.578328444644	0.267007660245
c	0.00337026749208	0.00511653937128	0.00120083755864	0.00651079184315	0.0076691565279	0.0673819173635	0.0561019218377	0.588080498615	0.264568010882
h	0.00501451963323	0.00633810424839	0.00195944287044	0.0101351234932	0.0118336811093	0.0963701711812	0.0484270081792	0.553661052005	0.266260862142
i	0.00288880784315	0.00324318093379	0.00182518221301	0.00740957790595	0.0095833183715	0.0727890170737	0.0388238394997	0.472397074468	0.391039957362
</S>	0.00174244813102	0.00235829887598	0.0013050548008	0.00391894607689	0.00597378663835	0.0424908974268	0.0308375891598	0.410195936234	0.501176991681
