 	ho	rotto	una	bottiglia	</S>
è	0.6580714415	0.266347478492	0.011615695495	0.01169140289	0.052274035538
g	0.43717728612	0.395566343031	0.0184423803203	0.0423023728002	0.10651166204
l	0.26473828986	0.55335020821	0.0207112064268	0.0519944949503	0.109205815719
a	0.268700281107	0.564405931937	0.0553245741089	0.0326328311008	0.0789363876257
s	0.207203382349	0.502575131312	0.140270662503	0.0432704479843	0.106680433558
a	0.117198830226	0.383378562344	0.332199957234	0.0606621089281	0.106560596133
m	0.0673959090333	0.251369807888	0.452760339078	0.117348631443	0.111125363842
i	0.0344717326901	0.177893715421	0.495796987026	0.177879207348	0.113958376492
a	0.0145944490932	0.0993484160844	0.626832672342	0.191296832849	0.067927594904
b	0.0078776455466	0.0490160562838	0.545719697781	0.31816911315	0.079217417995
u	0.0063900530716	0.0352860391322	0.384881270327	0.46641431305	0.107028305159
t	0.0128961691901	0.0329726654175	0.281152661576	0.52803146395	0.144947052176
t	0.0161792037495	0.029017762798	0.189971837459	0.546238518917	0.218592660734
ì	0.0107446893934	0.030469094619	0.182618884353	0.499926334972	0.276241029971
g	0.0178189413174	0.0912793920557	0.163882491584	0.476644582991	0.250374647524
l	0.0206144085305	0.0976768103909	0.123119536661	0.470726147664	0.287863105595
i	0.0121333612112	0.041038904851	0.075490301287	0.473171615221	0.398165764752
a	0.00623164118173	0.0194864700301	0.0433615316343	0.44338750574	0.487532773584
</S>	0.00342030134937	0.0113380327375	0.0305973825251	0.39969224487	0.554951956792
