 	è	che	sono	usciti	</S>
è	0.736833189	0.14587698809	0.047255466089	0.041634306848	0.028400057655
n	0.563773488267	0.25598383583	0.0803108089023	0.0659800047013	0.033951870275
a	0.352176955596	0.420214253943	0.139484982334	0.065387756122	0.0227361113677
g	0.184779246761	0.471415988048	0.189586302878	0.132268727109	0.0219498151968
u	0.113152462011	0.391203037549	0.292370981359	0.17213825361	0.0311353077172
ì	0.0907538534137	0.259651352486	0.499398541786	0.121376946043	0.0288193173324
k	0.0403512547666	0.137422870532	0.597835412395	0.197050126081	0.0273403730735
a	0.0185511258022	0.138439613581	0.460296697532	0.26345580816	0.119256744721
n	0.0169931543447	0.146459560468	0.269603461377	0.345917495253	0.221026310484
e	0.0190348433328	0.108230136771	0.143767456086	0.345933204151	0.383034352672
</S>	0.0172709342174	0.102487809703	0.089012373583	0.257113332076	0.534115494336
