 	vado	cercando	un	forno	che	fa	rustici	</S>
p	0.862638568	0.09389637123	0.00882168718	0.009753455421	0.0022878237523	0.0032296642809	0.0023332693369	0.0170392625344
à	0.864014841333	0.107253257497	0.00724949750067	0.00660870936167	0.00132397095343	0.00204471809065	0.00144804410447	0.010057031429
o	0.634507252978	0.340291751919	0.0110328000342	0.00545131767189	0.000862032270917	0.000888883191841	0.000670705542663	0.00629534163513
c	0.286385825393	0.618699475306	0.0337767999314	0.0119554053506	0.00199788191721	0.00185161787136	0.00481022928235	0.0405228305346
e	0.153965617264	0.724968412435	0.0434356797971	0.0153274131902	0.00236436488814	0.00256876545212	0.00658175998525	0.0507879656502
r	0.082846636746	0.781548171478	0.054565879219	0.0191817978834	0.00592602667338	0.00591202244104	0.00486478638775	0.0451546257281
k	0.0838519409067	0.693769427159	0.0781309930263	0.0237590466345	0.0165948403258	0.0128818815877	0.0102290275166	0.080782821956
è	0.102607196736	0.639492835053	0.119989773275	0.0244777484848	0.0166797795033	0.0130324771386	0.0154735974055	0.0682466131027
o	0.0633657125846	0.506098241684	0.326089787092	0.0347864406283	0.00839767016377	0.0111976340829	0.0149550678725	0.0351094567402
n	0.0237527869013	0.311902237561	0.460454223697	0.0644089293428	0.0152685006626	0.018389254835	0.0200617174682	0.0857623561151
t	0.0159456168609	0.26717355972	0.386861853232	0.0940716183143	0.0336812374542	0.023566805985	0.0293649908961	0.149334316775
a	0.0120351460385	0.189403286707	0.492775269744	0.120865965771	0.0362404423981	0.0180607423483	0.0230426485687	0.107576508462
è	0.00559300698812	0.087884597669	0.611524962581	0.19790118259	0.025367399046	0.0155945840528	0.0133342189996	0.0428000628353
n	0.00553110573782	0.059010830963	0.590848501527	0.235985866863	0.0193216736353	0.0170241198103	0.0128627165665	0.0594151825111
a	0.00455422075986	0.0329608671297	0.437566021176	0.332986260954	0.0971064905651	0.0231572113461	0.00979562836217	0.061873268735
f	0.00333808855163	0.0178557204172	0.201360100592	0.457212111651	0.180486523822	0.045808311582	0.0139218883807	0.0800172408493
ù	0.0028441080894	0.0120202168737	0.122657748131	0.47287687255	0.161832277107	0.0903341660607	0.0247929526802	0.112641651981
r	0.00272062858236	0.00742277480257	0.094523288377	0.516963074317	0.131205645969	0.0984966857536	0.0293128314467	0.119355064456
n	0.0128700936536	0.0165633287895	0.075246274659	0.482609968906	0.107085048323	0.102532843518	0.0347628444022	0.168329584808
o	0.0162336296438	0.0201003492898	0.0584182839863	0.324438662969	0.223087892108	0.170483903039	0.0375902357874	0.149647037363
k	0.00922194783377	0.0159813641787	0.0281392917888	0.230300867656	0.356200951369	0.20861273208	0.0429674773958	0.108575379489
a	0.00745385860664	0.0170844010089	0.0166827461216	0.162544345819	0.35850156339	0.297972600427	0.0489790030653	0.0907814840047
k	0.00665255805025	0.0158299533172	0.0096478578732	0.0918168560997	0.323166373597	0.388001975476	0.0652361610218	0.0996482528439
à	0.00433154326144	0.00992621177743	0.0091494473984	0.0817894431666	0.209256990652	0.452914153825	0.105484171074	0.12714797645
n	0.00461468085471	0.00634809502099	0.00936588711833	0.0688319049222	0.121187447624	0.511487682408	0.143703932158	0.134460344817
n	0.0256133000263	0.0119749867762	0.0170975420183	0.0713053204874	0.0942589116947	0.402691382936	0.159638925919	0.217419658672
i	0.0318225204349	0.0142674316142	0.0175655459564	0.0586017138958	0.0624315015316	0.302123326645	0.250822818506	0.262365134624
r	0.0146470008119	0.0102922172651	0.00822110421387	0.0260197470453	0.0434259180305	0.294550329415	0.316740153502	0.286103466516
ù	0.00667326352791	0.00573398043583	0.00439907220389	0.0137870566731	0.0279554139522	0.234046862338	0.395983990501	0.311420273947
s	0.00348816671557	0.0028216448213	0.00241312015235	0.00764634992237	0.0160586997641	0.177368072113	0.5270275975	0.263176327249
t	0.00656785552218	0.00308547650496	0.0040944287487	0.0114091561588	0.0147634305527	0.145897513151	0.501521597833	0.31266056525
i	0.00872055974186	0.00462625555168	0.00481721585143	0.0113693512243	0.0107209411582	0.086630441277	0.509273122611	0.36384213745
k	0.00873624146365	0.0115598624365	0.00447723134341	0.00816080714151	0.00834590320673	0.072928766739	0.51445476887	0.371336454433
u	0.0083427526564	0.0142228474844	0.00417673667708	0.00679271573517	0.00728944874891	0.0642225439263	0.44556549029	0.449387468094
</S>	0.00709563142123	0.0110750716281	0.00298904154384	0.00419371518959	0.00557566926445	0.0403395086832	0.431793275145	0.496938073047
