 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.709993061	0.13706123713	0.01612696826	0.012846100879	0.009195589078	0.0042048369772	0.0109325597832	0.0996396685791
t	0.688413836333	0.140575929777	0.0164916727533	0.024141640093	0.0135138238577	0.0147480058658	0.0161164007691	0.0859987217695
i	0.572458567311	0.264706765126	0.0362577089178	0.0295554700977	0.0108703926009	0.0181409352237	0.0156083370977	0.0524018542886
p	0.31357814749	0.371136504375	0.118882000839	0.0977040825326	0.0311623900756	0.0141817202104	0.0137424815939	0.0396127289778
à	0.13176720055	0.459706680125	0.198918364946	0.114777547318	0.0376699215972	0.0112429295496	0.0127480092211	0.0331694231215
s	0.0827868240767	0.509341852042	0.269487230982	0.053429536146	0.0338971720777	0.00501307932133	0.0066611605635	0.0393831776858
t	0.0620630376522	0.442545778681	0.303460152527	0.0430145907553	0.0364414002926	0.00652905217044	0.0356986264678	0.0702473361026
a	0.0298928234307	0.31987145736	0.443072317709	0.0795996934918	0.0202929831442	0.00775120083815	0.0442609351159	0.0552585089782
v	0.0173763508088	0.13260499672	0.595653025903	0.142806117831	0.0384835181947	0.010285288506	0.023096713092	0.0396938540729
à	0.0122056938136	0.0543893710467	0.643119941301	0.181184901944	0.0466073667049	0.01043505873	0.016203652424	0.0358539395624
l	0.007454057817	0.0273879958222	0.660516316434	0.175028576315	0.045359308275	0.00754435951133	0.030649442468	0.0460599297101
e	0.0059007446734	0.0164184905447	0.473740383145	0.326218017772	0.069731448025	0.0157183662371	0.041956769736	0.0503157432514
à	0.00239170277463	0.00677187064761	0.234863267915	0.551668772591	0.121979948608	0.030710689639	0.0286371219587	0.0229765923905
l	0.00147199681286	0.00328287841605	0.120956884705	0.52102389153	0.230333582869	0.0348519808397	0.0518860811396	0.0361926413091
a	0.00139485235798	0.00200869369282	0.068481521859	0.328436701843	0.31278985869	0.137614741547	0.0888211176665	0.060452409842
e	0.000787792251975	0.00097404444116	0.0274113844083	0.165785171908	0.34733461663	0.324095035182	0.0872328082222	0.0463790748073
t	0.000744758523713	0.000782261589353	0.0114549991492	0.0890522812227	0.362378017543	0.355254889461	0.134174662674	0.0461581252118
è	0.000727196075034	0.00106159865764	0.00738908675647	0.0581694989009	0.362615475714	0.265739556887	0.241971590425	0.0623259484866
l	0.000566486587607	0.00119594649188	0.00654401350109	0.0486150804536	0.370131957238	0.193488695296	0.317549938342	0.0619078188955
i	0.000868926512821	0.00086344483052	0.00465456953103	0.0350408509785	0.288928576173	0.272282107432	0.284272707447	0.113088826565
t	0.00123612279772	0.00109850211194	0.00264676479414	0.0154423455815	0.147421652991	0.323213129811	0.357553546482	0.151388033244
à	0.000998957438208	0.00121139954174	0.00214229348391	0.00749970858183	0.071674257757	0.189904164137	0.576114315494	0.150455015204
l	0.000418445056286	0.000764561825556	0.00184384976524	0.00456298519928	0.045988622717	0.104135801712	0.703597221165	0.138688565335
a	0.000538173886098	0.000602749407301	0.00157885841488	0.00342206408576	0.0305444073772	0.0859443909773	0.579769649722	0.297599748978
</S>	0.000777950615919	0.00044092834885	0.00106987870434	0.00262812207388	0.0217826653789	0.0800695498987	0.414035408861	0.479195528489
