 	è	che	stanno	ancora	svegli	</S>
è	0.83028136	0.07864059268	0.010509350455	0.006679764062	0.0047807937494	0.0691081860235
n	0.604445807867	0.23490510136	0.0590824681517	0.0140055745407	0.0066019888544	0.0809591252122
a	0.344147074099	0.43400415712	0.158562979117	0.0173003557202	0.0043585071688	0.0416269365573
s	0.163477852061	0.44922034204	0.289725535772	0.0169747214267	0.0059894092896	0.0746120913924
t	0.086994495105	0.441614826347	0.335443436124	0.0152033715669	0.0182044070539	0.102539387892
a	0.0574195982797	0.392120060716	0.421971810908	0.0325462328136	0.02136773672	0.0745744802036
t	0.0333371918372	0.257956181352	0.528254134969	0.0444806101379	0.02327893644	0.11269293629
ù	0.0266371390451	0.159648594964	0.575017654323	0.0888171258326	0.02350003586	0.12637951277
n	0.0205170708561	0.0854706432647	0.656803332108	0.141060980211	0.0156946303667	0.0804533917633
e	0.0146648075424	0.0554077431696	0.519784675369	0.324180863204	0.0171285452356	0.0688334021278
a	0.0057919467418	0.0227416495063	0.251015618283	0.594902715735	0.0534078768985	0.0721402256093
n	0.00367146581893	0.0141093296746	0.110120803508	0.603681065512	0.132119258546	0.136298132654
k	0.0254873205863	0.0388938399375	0.119121711449	0.374416258371	0.121513731882	0.32056720764
ò	0.0414676691154	0.0475455304512	0.18846471491	0.21537275479	0.0561588775407	0.450990497718
r	0.0365706314278	0.0341954369991	0.18224327209	0.383802311997	0.0426147127069	0.320573648573
a	0.0299166758128	0.0328283470654	0.107070535293	0.547151457999	0.077402066969	0.205630907258
a	0.0157039828159	0.0210849808607	0.0448514596368	0.399813429533	0.326768176923	0.191777977353
t	0.0112503896894	0.0143211976935	0.0177195582561	0.219685944534	0.543896879661	0.193126090384
s	0.0157599843718	0.0214233976218	0.0193842281034	0.136020612841	0.49269954724	0.314712338195
ù	0.0125005413833	0.0192131427351	0.0270662091598	0.0775634751203	0.512732117747	0.350924637532
n	0.00577237963405	0.0101858996736	0.0216386358393	0.0594559457068	0.600651679916	0.302295550644
n	0.018775580147	0.0366702185445	0.0399985259571	0.0516445839023	0.475901037972	0.377010110081
i	0.0224004928265	0.0436249745933	0.0480203329001	0.0371935550754	0.482785251324	0.365975448894
t	0.0106816854312	0.0191174848032	0.0232030576727	0.0406466491331	0.487093545775	0.419257595098
i	0.00808274477279	0.0128878312286	0.0179401919542	0.0386308167864	0.299286022592	0.623172388166
</S>	0.00661017876267	0.0110207796151	0.0227945233147	0.0294606785062	0.249597474296	0.680516364083
