 	entrò	da	qui	</S>
m	0.80483191805	0.042865971251	0.031886973506	0.120415169493
b	0.631525461383	0.13123161693	0.049179426886	0.188063551791
ì	0.490310990194	0.29184027451	0.067243669682	0.150605111573
k	0.421257148598	0.37166228817	0.073334530094	0.133746004664
e	0.279375643161	0.500789836057	0.092659065898	0.127175415788
a	0.111415140418	0.465773791752	0.348553465233	0.0742576021427
p	0.0383858630813	0.217501411524	0.630625142411	0.113487632315
ò	0.0137424497164	0.101483362801	0.766150812804	0.118623436872
t	0.0059126100042	0.043002510207	0.862334536268	0.0887503666907
t	0.0159649140504	0.0298582368783	0.790472526089	0.163704348177
u	0.0189641006522	0.0221488151871	0.595780360896	0.363106748739
</S>	0.0101855189289	0.012561699001	0.486951412748	0.49030138337
