 	non	aveva	da	stare	</S>
e	0.7318001326	0.09245962542	0.008241148628	0.0176908627312	0.149808270689
n	0.4769664366	0.28052673802	0.0586246057227	0.0261383334752	0.15774393241
ì	0.171746138907	0.619725470273	0.0772390226409	0.0205920523151	0.110697370396
c	0.0663149913023	0.798609638758	0.0533863368536	0.030432035389	0.05125709198
h	0.0316897774828	0.837672292919	0.0609684149912	0.0342271714657	0.0354423841871
e	0.0165241025789	0.594011115306	0.281204736864	0.0478741099639	0.0603859085541
n	0.0132088599656	0.219148577849	0.533657378288	0.136846463988	0.097138720723
a	0.0133072456433	0.0843373337897	0.443591411229	0.344612793796	0.114151271619
s	0.0108647013132	0.0318128301812	0.30033685421	0.532329131932	0.124656504262
t	0.00723748821907	0.0142810821184	0.235261797417	0.624073683444	0.119145917167
a	0.00319159004391	0.00618554886567	0.131122532552	0.731133664615	0.128366628766
s	0.00357832115602	0.0111848607699	0.0568987699973	0.748604351538	0.179733632847
ì	0.00380606777724	0.0200038968124	0.0352021118524	0.538110879179	0.40287699834
</S>	0.00234877887973	0.0210673679072	0.0253032910862	0.36531980859	0.58596075017
