 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.72224274683	0.03908444555	0.137292594886	0.0635153549155	0.0186179969103	0.0069619726302	0.0122849582035
n	0.643498473877	0.106925223469	0.113642167949	0.0291653355032	0.0426057863001	0.0354440606781	0.0287190173353
a	0.52595052543	0.212846612932	0.086236140983	0.0279697366251	0.0673360624688	0.0486292371605	0.0310316931151
v	0.31333679972	0.263376839771	0.199189013441	0.0724502944537	0.0747848694251	0.0466908537587	0.0301712571037
o	0.145856288465	0.260124609817	0.352924847147	0.0958508939779	0.0653425533964	0.0414452093796	0.0384554743512
r	0.150836556583	0.193470292126	0.397242948182	0.123837130019	0.0623343727988	0.0227336031465	0.0495449756957
à	0.125140403512	0.0877543432553	0.390973956527	0.200757338273	0.123675331263	0.0192039576622	0.0524945648772
s	0.0698112811743	0.0780405338984	0.422667714176	0.224752347491	0.136474704871	0.0259489470141	0.0423044247591
o	0.045448042164	0.123696478626	0.406290305125	0.267973963764	0.090437955297	0.0270105646214	0.0391427195864
t	0.0220500624363	0.106205509747	0.315074903575	0.385457283255	0.0761921672323	0.0242580041838	0.0707621193728
o	0.0136356367715	0.110176683625	0.216556612578	0.440298388418	0.100725112477	0.0337701004146	0.0848374866349
t	0.00836789841543	0.111480175722	0.133188163113	0.461851553473	0.132328733226	0.0456375085315	0.107146005292
s	0.00613940865474	0.0850763205197	0.130133554464	0.480389402491	0.125082129769	0.0536438392772	0.119535404134
o	0.0237536599771	0.0660232296832	0.127232784421	0.354076106164	0.142661256816	0.0985810936591	0.187671906535
m	0.0312662365728	0.0283646777022	0.0701886422937	0.286833356055	0.254843279339	0.125737357153	0.202766476007
ì	0.0166930599014	0.0150766107699	0.0373360905712	0.227518257885	0.39524608618	0.155299783451	0.152830139831
k	0.0254818641163	0.0160264558537	0.0176467957784	0.0986710623617	0.453435567393	0.239085596484	0.149652668877
a	0.0260996667276	0.0170828696825	0.0110823130918	0.0540946324086	0.392272901131	0.322056474628	0.177311155226
i	0.0108188440149	0.00820252014762	0.00519415662273	0.0224372735195	0.25734039331	0.455788259343	0.240218571075
m	0.00487108220039	0.00333416101734	0.00263744940138	0.0147346313712	0.227596386037	0.545870930448	0.200955372536
è	0.00400589793412	0.00241922503136	0.00171836255606	0.0114983868708	0.219331636546	0.594578247483	0.166448235156
r	0.00387648483695	0.0021133682787	0.00153973945215	0.00801196521093	0.135314015449	0.685415283161	0.163729184752
i	0.00288638652136	0.00144487212073	0.0017079897272	0.00702517400154	0.0656991976197	0.551565205187	0.369671230484
</S>	0.00295265322948	0.00121886176272	0.00145138295253	0.00508565478321	0.0351529414149	0.374481835794	0.579656662242
