 	io	non	so	cosa	è	da	scrivere	</S>
e	0.905026326	0.0236373044388	0.0022379881943	0.00110625843761	0.0110946385104	0.00199701653788	0.0116730245155	0.0432274531661
v	0.803987792867	0.0614825802329	0.0521577894874	0.0167383002833	0.0173701779151	0.00787657107099	0.014140732411	0.0262460846257
ò	0.595341999156	0.221381246678	0.0877181304958	0.0241045707571	0.0198488501164	0.0104416131997	0.0157675644939	0.0253960206145
e	0.373197561652	0.441140744226	0.117282777965	0.0144584152524	0.0093781446128	0.0044181129336	0.00717785261373	0.0329464089855
n	0.180521343151	0.420756843409	0.284991693255	0.0267682643775	0.0150957439023	0.0059400021069	0.0119945647754	0.0539315897902
e	0.0947287937797	0.254975708136	0.504260052418	0.0624313175258	0.0186026819941	0.00703540532897	0.0130980916235	0.0448679636034
s	0.0596744730119	0.149802833245	0.606160189873	0.0920966487086	0.0234348416447	0.0111115500297	0.0126040968795	0.0451154209871
s	0.0470307605266	0.081178688015	0.531564284024	0.117720968103	0.0301302963416	0.0297585831499	0.0375074822465	0.12510908291
è	0.0333459547822	0.0673017340783	0.434156584341	0.169709909834	0.0648277140805	0.0366226668633	0.0550036914822	0.139031884645
r	0.0382912180914	0.0676092494328	0.460276666114	0.210203504345	0.0845990893268	0.0270648087278	0.0409662570074	0.0709892496083
o	0.029244858341	0.0456630336389	0.383616036038	0.338404401582	0.104768712742	0.0332186579093	0.0265683831748	0.0385158729694
t	0.0136263055904	0.0218158394056	0.207131212079	0.493005839194	0.126490782647	0.0720524991698	0.0300107558506	0.0358666844085
i	0.00861944505201	0.0135900853917	0.11117026618	0.482101480398	0.172506277682	0.142431735257	0.0297896786369	0.0397909928148
e	0.00358228603349	0.00561190199177	0.0617818681467	0.388748137466	0.246765347227	0.229797459752	0.0291475624723	0.0345654119916
n	0.00307974296808	0.00345425168659	0.0429456268956	0.262080957955	0.209442157009	0.348746777251	0.0780453741308	0.0522051210639
a	0.0031611571052	0.00233682573513	0.0256518679092	0.137092673452	0.164997285603	0.47169351575	0.130092729028	0.064973950868
g	0.00240028779812	0.00173922257798	0.0156656097277	0.0753686369573	0.142709676688	0.462098158983	0.223552228661	0.0764661391813
r	0.00226332934292	0.00206222220666	0.0152140689432	0.0487459521924	0.087619612876	0.308281600061	0.351360815554	0.184452434432
à	0.00199997062042	0.00231400792435	0.0150677961711	0.0345328336581	0.0608913867053	0.251632049374	0.416507507051	0.217054507857
s	0.00211120209002	0.00270165194334	0.0121926089554	0.0248531164667	0.0529355456884	0.252533322478	0.495015994884	0.157656550719
s	0.00498631915697	0.0034782746482	0.0125917712669	0.0163060704689	0.0433271579361	0.181949660293	0.482100238295	0.25526046102
o	0.00541036527525	0.00303348152225	0.0152296812305	0.0122297798039	0.0315026098847	0.134989816564	0.372887703798	0.424716526687
</S>	0.00344287363302	0.00206832869041	0.0158655700275	0.00873922448335	0.0198162840413	0.121562762782	0.332943078449	0.495561856343
