 	non	sapeva	dove	a	stare	</S>
e	0.7663726444	0.092691571101	0.004252396487	0.00481249200043	0.01289003782	0.118980838613
n	0.498647322767	0.27104642002	0.0539030397783	0.0160390443663	0.0163213439957	0.144042839605
ì	0.218936023422	0.565751433393	0.0835051957661	0.0188842136408	0.0107278278779	0.102195314794
s	0.123025982494	0.725108431131	0.074888288262	0.0090574117456	0.0200881569634	0.04783170313
s	0.0692051679713	0.629950629044	0.137261154387	0.0109155939619	0.0381940523192	0.114473400995
e	0.0345969615964	0.451062962681	0.313769098862	0.0205062781406	0.0359383719997	0.144126340562
r	0.0217385918095	0.31046322996	0.443536521887	0.0747679632869	0.0477270743732	0.101766632431
e	0.0179523815523	0.172865476087	0.505369201296	0.134813748696	0.0694676506577	0.0995315502477
p	0.0119646256066	0.0735539772823	0.509760345165	0.163536576432	0.155144636493	0.0860398007111
u	0.0109399993305	0.0326550355941	0.376283196455	0.257145985477	0.227091389838	0.0958843609989
n	0.00969313634743	0.0186461982234	0.237388057552	0.377583530159	0.244494189746	0.112194891691
a	0.00530272707441	0.0101354414982	0.128713008144	0.36230873172	0.394237071915	0.0993029970553
s	0.00353821684627	0.0056753805838	0.060659513208	0.319408806373	0.508890737972	0.101827297804
t	0.00267287718689	0.0045971863406	0.0349535970493	0.286655450824	0.576798043991	0.0943228021647
a	0.00138228313647	0.00290347267187	0.0190076652098	0.173006843241	0.710444763997	0.0932549148329
s	0.00178526346342	0.00188479619409	0.00957343170193	0.106226602614	0.717622020666	0.162907844919
ì	0.00192838671703	0.00174557323083	0.00862407452264	0.079095013738	0.508110920222	0.400496020081
</S>	0.00116821338423	0.00144888963691	0.00844481096632	0.053554590969	0.349438095111	0.585945399041
