 	ha	che	sono	usciti	</S>
è	0.794832762	0.10110820007	0.036545491452	0.038725666216	0.0287879301905
n	0.644589022	0.202725442623	0.0585672869693	0.0595802686693	0.0345380174538
a	0.426202158373	0.412331690474	0.0781372422098	0.0587832397233	0.0245456256119
g	0.227085374585	0.514655536191	0.10848230269	0.129143392768	0.0206333228737
u	0.13864442982	0.430522318897	0.229933018697	0.172057031423	0.028843203187
ì	0.109943820853	0.282244996032	0.463129041566	0.117951821061	0.0267303588223
k	0.052328247137	0.148094247477	0.587647162522	0.185698602707	0.0262317228874
a	0.0231556860363	0.150690755412	0.472703763707	0.245472953369	0.107976777296
n	0.0164160027414	0.157123546244	0.296370651282	0.329909589056	0.200180218235
e	0.0167692425965	0.115712667137	0.167912597007	0.344012715152	0.355592767748
</S>	0.0171129479982	0.110247578072	0.112625664604	0.261971172976	0.498042526874
