 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.921078879	0.0217572908571	0.018686945958	0.00240592334769	0.00347315563517	0.00330681873286	0.00714635460325	0.0221445965529
ì	0.932811223667	0.022811028339	0.0185429589467	0.00216434720162	0.0029429637157	0.00238853025861	0.00600060260665	0.0123383002281
n	0.883092164556	0.046896134833	0.0342087131989	0.00474067578681	0.00802457132857	0.00340718091194	0.00694198170468	0.0126885773634
i	0.602885362052	0.298066032744	0.054802399293	0.00727456032894	0.0125358028262	0.00398792691419	0.00735021384013	0.0130977192726
e	0.274310381777	0.520632846915	0.155564679498	0.0109905121496	0.0119586702727	0.00215093429628	0.00407761469041	0.020314392603
n	0.121238000399	0.351392934572	0.407889380499	0.0208173588832	0.0147641974909	0.00410798245343	0.0179760020733	0.061814167041
è	0.0855073618263	0.182926116057	0.584074036166	0.0306503750877	0.0159167550103	0.00616839772314	0.0227378769844	0.0720190598463
r	0.0738725544928	0.160638175414	0.622929944055	0.0413439647352	0.0257753270768	0.00648964581038	0.0146639799921	0.0542863887464
k	0.0899567694016	0.124970264933	0.561813040018	0.0434967808844	0.0342277166923	0.0118468396055	0.0495162284414	0.0841723410997
o	0.0826493154239	0.0745406176043	0.465400877006	0.145152352295	0.0594223246508	0.0223978943085	0.0601864244938	0.0902501742466
t	0.0344814798237	0.0364237935814	0.462915170002	0.202202688365	0.103475925884	0.0405574768695	0.0347520246779	0.0851914360855
t	0.0383898179883	0.0323024658805	0.428814932667	0.128156709722	0.123337854761	0.0623759064272	0.071398248426	0.115224084389
e	0.0347571781239	0.0264566463335	0.285306409156	0.207502558574	0.18546658452	0.0766312639464	0.0873987544887	0.096480558787
e	0.0134311248374	0.0110247764498	0.141373310479	0.284560806858	0.355904187507	0.0728571440488	0.0580595513162	0.0627889973757
t	0.00872690757897	0.0055011196246	0.075609866653	0.187780273819	0.462812659036	0.10404134055	0.0611342671121	0.0943934887879
u	0.0078141866569	0.00329170652753	0.0466877111377	0.119838237073	0.442258192879	0.16239488625	0.118701674617	0.0990133619586
s	0.00722893536834	0.00228086612404	0.0273388022612	0.0877847743577	0.368861083626	0.205924530683	0.183452518586	0.11712839746
m	0.00976335387511	0.00300967908621	0.0241333164491	0.0598953517859	0.271044702875	0.185947746441	0.225827269395	0.220378470839
è	0.0203208204842	0.00740534377744	0.021326989057	0.069229884302	0.188021124645	0.159504393094	0.285117372998	0.249074038339
n	0.0445020820405	0.0253300387918	0.030322315701	0.0681832475407	0.173218021702	0.151964333565	0.328059748199	0.178420202846
o	0.040493387401	0.0269838497131	0.0272573641004	0.0453332301669	0.161847475434	0.127295750255	0.393358056733	0.177430856749
m	0.0196955914671	0.0112104736727	0.0132229627175	0.021284504769	0.0969785188113	0.097417450705	0.514851054911	0.225339383011
e	0.0134336872028	0.0059617239927	0.00852983158897	0.0108308164097	0.0535398363731	0.055795128455	0.571751878304	0.280157044165
t	0.00679210523724	0.00300723789617	0.00660665251886	0.00533997487657	0.0298633621404	0.050504219885	0.531753874768	0.36613255734
r	0.00711462021396	0.00342829086196	0.00775281372862	0.00732202606552	0.0284219520268	0.0413538191017	0.473137729589	0.431468737711
ò	0.00722393790239	0.00349230717782	0.0113444265332	0.012663247048	0.0318443337383	0.0430571686379	0.452464065863	0.437910540284
m	0.0344145115679	0.003748256905	0.0118014700791	0.0121780689395	0.0280360494954	0.04401375027	0.538933259954	0.326874703161
e	0.0434210705978	0.00359525576016	0.00691706746342	0.00732283895117	0.0199558055731	0.039003399208	0.512088266651	0.367696271454
</S>	0.0229647071228	0.00231655339988	0.00491203008431	0.00484717339658	0.0142289199185	0.048865189291	0.405293959326	0.496571376727
