 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
k	0.900860115	0.035278413293	0.02083896229	0.00650822566635	0.00247280820546	0.00138751266776	0.0075238638406	0.0251300472491
a	0.845299123	0.0900622668977	0.02950372775	0.00666441347102	0.00200173900283	0.00098071498306	0.00719924820745	0.0182887594625
n	0.618309486333	0.249396485633	0.06246470185	0.017430441805	0.00497138365231	0.00275804025592	0.00961357140067	0.0350559278614
è	0.362895666378	0.386335838944	0.15677511695	0.0250010276617	0.00730646330944	0.00414467336531	0.0120179547005	0.0455232706885
n	0.255619287659	0.458645934048	0.21033964265	0.0273849930206	0.00639077089315	0.00335971240977	0.00727464372843	0.030985051703
a	0.146834959473	0.483328962016	0.303839343217	0.0323670096269	0.00605782867705	0.00251627768412	0.00402054217424	0.0210351558954
s	0.062541743921	0.424335254245	0.409113495739	0.0419532036623	0.019454123445	0.0130842200849	0.00457018188951	0.0249477659346
t	0.0421075783037	0.392308691588	0.384578871153	0.0472072003408	0.036268605435	0.038302020651	0.0198261678632	0.0394007627441
o	0.0261190081066	0.322155287263	0.469651760958	0.0588530926003	0.034441049645	0.0370762965037	0.0230439255678	0.0286594647154
t	0.0173821086049	0.207635317111	0.561453021653	0.0914228880668	0.0492611524417	0.0352540125466	0.0129552164293	0.0246361593887
e	0.0142428581056	0.137869136307	0.573641161218	0.149598510156	0.0565369300072	0.0352632394675	0.0094455309191	0.0234025536851
l	0.0113653073599	0.0799485458037	0.581758033073	0.180096438852	0.0612938354424	0.0452679721225	0.0241180965824	0.0161517795897
è	0.0101038950836	0.0468128127072	0.566368540691	0.193693687084	0.0745430219208	0.0584103758235	0.0302192583248	0.0198484132326
f	0.00950149049547	0.0360688494051	0.534044255897	0.273610303361	0.0599779622203	0.0401888996172	0.0171581774456	0.0294500878949
o	0.00923501434678	0.025028384898	0.389054793132	0.368619151787	0.127906640787	0.0344738686591	0.0117357762985	0.033946458041
n	0.00718639749661	0.0150314520568	0.215679674344	0.441887057929	0.206722122929	0.047174473913	0.0264577246762	0.0398611612803
o	0.0067499083278	0.00980213030047	0.105990739111	0.43365345731	0.293645184976	0.0691663490377	0.0364860469787	0.0445062018601
t	0.00560105788233	0.00588611538518	0.050442755447	0.357421112303	0.366438376325	0.102038144279	0.0565845784462	0.0555878779734
è	0.00476784067781	0.0045360777171	0.027975178029	0.361494600634	0.331000067442	0.152237698293	0.0632960511154	0.0546924861158
l	0.00385508992796	0.00440866209191	0.0219749761097	0.384464400478	0.323663077814	0.168585332898	0.0477062620051	0.0453421522086
i	0.0039570694681	0.00430992025295	0.0170417152499	0.258827323659	0.388005169005	0.211362403299	0.066464764335	0.0500316151482
n	0.00306881008531	0.00255971166721	0.0090708130563	0.112207260286	0.440945296402	0.267762640766	0.101546275445	0.0628392282161
a	0.00288475177964	0.00184839437477	0.00604331287997	0.0519346582527	0.379733604434	0.333925169989	0.152188910282	0.071441222252
t	0.00241785932831	0.00142293803473	0.00440114596726	0.0229348686749	0.283267812711	0.366615727396	0.239211962027	0.079727671696
s	0.0019957151207	0.0021318684944	0.00532498522815	0.017985640825	0.18266085299	0.250879897932	0.348005610009	0.191015392339
è	0.00121809562867	0.00244256507164	0.00606130935805	0.0323860816083	0.118104737103	0.192486681911	0.410270025336	0.237030473715
r	0.00190778570971	0.00347285632884	0.00594268227802	0.0347426206228	0.120028804141	0.236407049104	0.444619676445	0.152878504972
i	0.00211592954682	0.00325262342614	0.00503367639314	0.0184187023363	0.0932534098737	0.287706935135	0.439832374815	0.150386348857
à	0.00102633378217	0.00145915368569	0.00322593778365	0.0085672805161	0.0524262827646	0.301514310345	0.481868285605	0.149912464486
t	0.000633338286305	0.00101722906894	0.00233186033391	0.0049380511387	0.0292263527882	0.249693361982	0.607800905202	0.104358949829
t	0.00078711357982	0.00197207101882	0.00407120699786	0.0036910116909	0.0174884541934	0.151763168493	0.621822309734	0.198404751363
i	0.000799762159305	0.00212710914883	0.00518760410035	0.00333339543883	0.0117702480178	0.0901320198897	0.511875839245	0.374774145074
n	0.0019836233996	0.00270388759529	0.00448344548969	0.00247755561014	0.0111216490553	0.102687560523	0.520476923748	0.354065480938
A	0.00232609891995	0.00288583321479	0.00387854080298	0.00272132307205	0.0117803276784	0.101629136481	0.638630377249	0.236148410226
n	0.00124190003549	0.0017476167969	0.00257023080378	0.00320402811385	0.0101053847701	0.0697047187137	0.740802453083	0.170623613142
n	0.00262134419542	0.00443187015815	0.00988367604994	0.00436250139445	0.00762048963603	0.0355609774219	0.733271865694	0.202247234341
a	0.00316666764072	0.00502656045912	0.0148182654321	0.0061206400725	0.00488549516934	0.0198757286313	0.544523384565	0.401583255007
</S>	0.00228874051195	0.00307539141653	0.0121613359575	0.00655081318777	0.00351386071767	0.0171022621456	0.422465439283	0.532842169503
