 	vuole	pianto	</S>
i	0.8128652358	0.08895926523	0.0981755381385
t	0.806034765933	0.0883720140233	0.105593267395
è	0.790142522644	0.102267276828	0.107590227367
l	0.822506852215	0.106421499963	0.0710716820757
i	0.586135029638	0.336160731388	0.0777042831452
k	0.268821004666	0.549150199796	0.18202883611
l	0.102920213109	0.620363615265	0.276716244215
a	0.0464148657097	0.660455809088	0.293129365456
m	0.0204865687052	0.642670716363	0.336842666899
m	0.0156277912404	0.622940243454	0.361431927871
è	0.0205707037568	0.627630050951	0.351799255115
n	0.0366966450456	0.607156559784	0.356146829305
o	0.0347377268285	0.428975954661	0.536286339102
</S>	0.0183313496443	0.29273997593	0.688928669551
