 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.5715294796	0.3641499145	0.03981735724	0.00181820811803	0.0043067289852	0.00149751269486	0.00435164034982	0.00149298763302	0.00199845373723	0.000646737909408	0.00133297082735	0.00705799272327
m	0.384142685267	0.4137228713	0.0860674375933	0.0156137676674	0.0231297937199	0.0197773435246	0.00371615897418	0.00457807566702	0.00224226721497	0.00357488313514	0.0125597421443	0.030874961304
a	0.313593024056	0.445542987567	0.0971699959178	0.0204783308678	0.028921081612	0.0258065205855	0.00307500548466	0.00496353352967	0.00169615029329	0.00435122895206	0.0162038563273	0.0381983253289
r	0.215124528252	0.535035557856	0.119628553693	0.0207666483679	0.037413368056	0.0213754906125	0.0116605434638	0.00690800347942	0.00183491133146	0.00419787331583	0.01038131435	0.015673248485
ì	0.154242756417	0.518101629285	0.191759519098	0.022978744396	0.043146429208	0.0213391332051	0.0159238907336	0.00781724000921	0.00222313813269	0.00445338517774	0.008675507469	0.00933864284037
o	0.099571282919	0.484234469762	0.333956341433	0.0217312543853	0.0287146478653	0.00954230609463	0.0077763165582	0.00326089298534	0.0012979920223	0.00193840477765	0.00326673042249	0.00470935546663
t	0.0425997923083	0.300064900521	0.511192585944	0.0387387474418	0.0398746920351	0.0122685207242	0.0123780383025	0.00564082318241	0.0143092765358	0.00628978147115	0.00335685008052	0.0132859845605
è	0.0208211799101	0.135120181174	0.681323523448	0.0486585687273	0.0358263308584	0.0127029189247	0.0135059096919	0.00624802090937	0.018613770658	0.00769612467172	0.00335240421884	0.0161310586082
l	0.017641268274	0.0723548931047	0.772492685816	0.0573937454424	0.0259384474128	0.0068017924129	0.00657299988223	0.00289161698966	0.0107226479088	0.00546492199111	0.00348191185175	0.0182430633932
i	0.0165430619632	0.0383641350029	0.569759987739	0.270332168747	0.0502699625843	0.00913420281963	0.00606766171101	0.00291422051742	0.00862123505307	0.00492220937837	0.00373878409058	0.0193323459882
f	0.00831441581278	0.0188416105443	0.324467915046	0.459620443582	0.0803387757148	0.0366747016065	0.007587530337	0.0107804495665	0.00808905171036	0.00921210997812	0.0165287022462	0.0195442600727
a	0.00566808476587	0.0100845677821	0.203052522315	0.528250417861	0.114098613758	0.0511629411355	0.00959101938567	0.0141792900788	0.00868392805679	0.0108896317294	0.0215002096154	0.0228387424716
m	0.00512837887683	0.00710789043517	0.118828850338	0.567248393954	0.140917264786	0.0666359281118	0.0108739565132	0.00938090851293	0.00663255612693	0.00619480145647	0.0146060940018	0.0464449731059
è	0.00519632265324	0.00644098258752	0.0997729875793	0.520201801318	0.198482214195	0.0751529870106	0.0129524070691	0.00752993288431	0.00599051767031	0.00494801400549	0.0117960197239	0.05153582422
n	0.0154061444	0.0149393030161	0.0957098999264	0.467871259106	0.253331736798	0.0528527973102	0.0210055266297	0.00778963459077	0.0082741371221	0.00678908524183	0.0122009244946	0.0438295670053
