 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
e	0.839065205	0.1117356903	0.0055693356055	0.001417746774	0.00400624870102	0.00280696560012	0.0036134962705	0.00211994001453	0.00290976133764	0.0267555904222
d	0.651075651467	0.2513878441	0.0160689609768	0.0184556252999	0.00545681072767	0.0147470533364	0.00479575472217	0.00248351102826	0.00303770677217	0.0324910855806
e	0.429679143802	0.462576441367	0.0232243546969	0.0252651068666	0.00604810939322	0.0193877882558	0.00505538275706	0.0031109188784	0.00253462800101	0.0231181330265
r	0.262904443761	0.614926152456	0.0253930271256	0.0255206444602	0.0125573558091	0.0151710514455	0.00461071375869	0.00603054912725	0.00313185692502	0.029754178673
f	0.1519906417	0.607573360952	0.0441323393819	0.0329715639634	0.0295393258025	0.0666960783258	0.0134381669682	0.0127335619597	0.00372617942034	0.037198776153
ì	0.109906115727	0.604584227784	0.0717134585406	0.0366688907478	0.0323979153016	0.0808931300739	0.0168248203314	0.0131515787239	0.00495190187011	0.0289080113763
m	0.120178759869	0.661699391261	0.0612685267469	0.0407234178359	0.0211484416645	0.0383582477713	0.0107367127638	0.00728134037463	0.00571758208804	0.0328876364621
m	0.16593264969	0.628283067754	0.0356739763423	0.0457985837653	0.0207075904935	0.0227461413404	0.00958620932127	0.00609341085821	0.00596973684935	0.0592087129934
u	0.126161860126	0.469518958585	0.135599869441	0.0967021759551	0.0310249278058	0.0591474489968	0.00834268248576	0.0087584054874	0.00719755047198	0.0575462282271
e	0.0449380375865	0.246184455002	0.366619231147	0.169306807385	0.0400711852686	0.0839841791323	0.00888420326725	0.00899235575713	0.00610179335806	0.024917788285
n	0.01687572532	0.0933245361207	0.361490648449	0.310522549128	0.0508105594295	0.0572274757108	0.0323783278957	0.00954993949904	0.00888202913122	0.0589381920417
è	0.00754119699347	0.0404791982202	0.196191540483	0.456078753376	0.0938973558832	0.0685489901036	0.0428778004319	0.0105240222663	0.0138416721071	0.0700194817072
e	0.00333304938416	0.0194683697607	0.139819647094	0.390024966792	0.167845073961	0.177405649901	0.043833448944	0.0138616155821	0.0141167608277	0.0302914472117
r	0.00347450722272	0.0135783236669	0.0841167096447	0.231159630664	0.20598697914	0.211874606767	0.112997657848	0.0224111321207	0.0293107291046	0.0850897460199
t	0.00654749562004	0.0161856502816	0.0461235306949	0.160292826288	0.213851622213	0.140203982122	0.179979841983	0.0244821983136	0.0462440708815	0.16608874804
o	0.00648465673208	0.0128164091288	0.0303488387383	0.114356666469	0.189969290084	0.264017921774	0.171509015248	0.0348722104179	0.0398344373338	0.135790518067
m	0.00788389482316	0.00961814825573	0.0212545441994	0.0674080097297	0.157419185828	0.385979849191	0.194141208103	0.0479579743393	0.0279715242113	0.0803656708197
è	0.0102175812835	0.012475522029	0.0216568501998	0.0701675694899	0.135389239076	0.347210338997	0.223639784034	0.0813029089131	0.0335257114704	0.0644145218639
n	0.029980986561	0.0190415806978	0.0216450668133	0.08447270305	0.102673896692	0.292894332732	0.227307212145	0.109083775838	0.0480623083035	0.0648381618546
a	0.0349013949552	0.0165811970909	0.0149300488081	0.058354696139	0.069809255464	0.308547221577	0.239061093115	0.153268172146	0.0486643475812	0.0558825577049
m	0.0182195247887	0.010161682214	0.00777534136437	0.0263441809973	0.0452019442567	0.297146655659	0.293028987972	0.204604516715	0.0497057881937	0.047811331205
