 	non	ho	dove	d	andare	</S>
e	0.691949449	0.12269744776	0.009934312036	0.0147106183665	0.0220364455098	0.138671838917
n	0.433103317967	0.24620267972	0.104994251436	0.0397287582928	0.0414205911131	0.134550494638
è	0.161065413222	0.462074243973	0.197394029812	0.0459596242776	0.0470136794277	0.086493011972
c	0.086498772634	0.509366895591	0.303511843271	0.0247155331592	0.0205792490739	0.055327709414
h	0.061813802994	0.315653622064	0.539425998424	0.0200714278997	0.013100264546	0.0499349396667
o	0.0322071952647	0.179037768288	0.655129290808	0.0748049250799	0.015570484342	0.0432503855242
p	0.0331021735136	0.109678679583	0.553186368136	0.17010295156	0.057083505154	0.0768463407504
u	0.0332572108162	0.0538471949383	0.344836269339	0.373336189587	0.105836077051	0.0888870688525
è	0.0160652778973	0.0279292129054	0.16131713022	0.556914476529	0.180101572617	0.0576723428842
n	0.00913243077857	0.0195891088205	0.0882409462867	0.53344455191	0.304945362872	0.0446476020281
a	0.00420461504526	0.0108129172072	0.0534140743242	0.372597562103	0.487422982291	0.0715478058094
p	0.00316535357806	0.00673311096287	0.0237573577474	0.217658391834	0.644804866764	0.10388086898
à	0.00270788262424	0.00572398723756	0.013960017875	0.139400731945	0.691971138921	0.146236220304
o	0.00156785143459	0.00331201715012	0.0074864522346	0.068930148835	0.63427837864	0.284425167901
</S>	0.00142721385239	0.00264463052176	0.0058201465089	0.0393068737975	0.56809023582	0.382710950951
