 	non	ha	mangiato	mai	un	rustico	</S>
e	0.690668136	0.15185022673	0.01353461414	0.00479992836584	0.00958801715851	0.0118349743114	0.11772407207
n	0.43476568186	0.356086290777	0.0790428891333	0.0152286504779	0.0100281860454	0.0140606107801	0.0907876329573
è	0.173949775747	0.629439317592	0.109670480444	0.0190785124946	0.0112922768838	0.0110921094547	0.0454775006591
c	0.087217064049	0.726859063197	0.111162888948	0.0133411395582	0.0107976280206	0.00545926574623	0.045162985239
h	0.0629270753497	0.630596673732	0.192998658649	0.0182034710861	0.0249365672575	0.0103539419507	0.0599836475263
i	0.0396661301466	0.406312894577	0.393879393216	0.0650035975754	0.0323820008912	0.0118319069142	0.0509240767488
f	0.0317548531215	0.185347128619	0.537741520405	0.124719923918	0.0437000843624	0.0331947963601	0.0435416185569
a	0.028272288547	0.081999648845	0.419478291068	0.321500919673	0.0669169131875	0.04264008054	0.039191794053
m	0.0159866396315	0.044486366231	0.288098977956	0.459443278224	0.0994241961958	0.0562679078667	0.0362926463377
è	0.013676842704	0.0312031737143	0.255456647852	0.417929026408	0.150686997999	0.0608087101756	0.0702386754326
n	0.025282151344	0.0401274457761	0.216034442817	0.377933348136	0.2287311378	0.0320526137852	0.0798389636775
a	0.0271598617189	0.0406585991538	0.129647184579	0.352246669379	0.360931337733	0.0313013243684	0.0580550916125
m	0.0126582574622	0.0223913266423	0.066961009353	0.299666086193	0.431185158578	0.0992799134561	0.0678582679155
à	0.0081804638709	0.016761758331	0.058377707851	0.179992035798	0.487992646193	0.131535254455	0.117160162163
i	0.00387310480404	0.00831233843164	0.0382629772957	0.0969673715327	0.525489393398	0.191556037454	0.135538831921
è	0.00210462160363	0.00541558523752	0.0181073904466	0.0499804859109	0.507837369799	0.306186848751	0.110367750774
n	0.00227558019281	0.00562560348497	0.0132473794975	0.0282259697236	0.4981375166	0.340222136184	0.112265847325
a	0.00208203638539	0.00468130566105	0.00910755552517	0.0173909828945	0.381022091707	0.433865033061	0.151850998708
n	0.00192012113338	0.00437342618794	0.00579778037326	0.00955955178083	0.206440086209	0.51120994302	0.260699062669
r	0.00322454808484	0.00961939117243	0.00689918203595	0.00632672984961	0.0927092073363	0.573864247673	0.307356682548
ù	0.00293519788839	0.0102223092109	0.00673648058465	0.0093206527212	0.0648697053121	0.643600942558	0.262314754741
s	0.00214771292287	0.00637096773428	0.00728365390888	0.0116822417584	0.0657666685707	0.614799636853	0.29194914878
t	0.00305109943562	0.00787377593647	0.0132737000286	0.0082977266192	0.0433493873869	0.506181784951	0.417972529393
i	0.00295600671329	0.00741020006562	0.0128592530612	0.005820751967	0.0207176417043	0.479328848984	0.470907308398
k	0.004454640003	0.0153942518993	0.0120260059164	0.00450842035653	0.0120029618268	0.498406212995	0.453207568326
o	0.0052764573304	0.0183818099027	0.0121253310702	0.00493713009591	0.00946799393027	0.428829764798	0.520981557635
</S>	0.00377126364792	0.0106631940847	0.00799692894927	0.00544924638355	0.00728123172714	0.389662624099	0.575175502818
