 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.907489099	0.03847992672	0.013161583805	0.002743372831	0.0031945973508	0.0060496890564	0.00238315642083	0.0264984677201
t	0.860540546333	0.05510814324	0.030685163147	0.00379413553567	0.0128629824243	0.00838273681253	0.0013874656785	0.02723880558
e	0.808988585444	0.10273009708	0.0414739827423	0.00436560299722	0.0159197625067	0.00899926718432	0.00085199325071	0.0166707068972
l	0.630064816481	0.171054320693	0.0777103597408	0.0346201607844	0.0251797948742	0.0129610120482	0.0143888428994	0.0340206888909
a	0.36804933456	0.269051032631	0.131709594247	0.0822810261015	0.0423603661347	0.0222087267887	0.0316937435811	0.0526461892236
e	0.198096164572	0.42875045221	0.191607282749	0.0767495672652	0.0317727947729	0.0158224078525	0.0236585535955	0.0335427944845
M	0.115346133509	0.40796485607	0.25305221925	0.124648803946	0.033147020369	0.0143528289251	0.0236244458483	0.0278637587515
a	0.0929339144857	0.342095694627	0.253696167203	0.151733406235	0.045911524983	0.026672182421	0.041830741939	0.0451264503312
r	0.0993482464112	0.325046323613	0.242147922054	0.126334001598	0.048757065801	0.0448129225143	0.0539026921332	0.0596508573444
ì	0.14206821217	0.263933464404	0.274333659218	0.146684606799	0.040698185371	0.0409650293648	0.0426318422957	0.0486850338815
a	0.0961520332351	0.221919729628	0.371655622739	0.216467982466	0.0306230598543	0.0195993336563	0.0184013720479	0.0251809180738
à	0.0347669044541	0.131745029303	0.52989562358	0.228771258155	0.0338756931694	0.0170023351274	0.00783666638863	0.0161064853593
v	0.0247983740068	0.100639213218	0.574974988527	0.191282178918	0.0350528467145	0.0176403863109	0.00941587505514	0.0461960956254
v	0.028675202929	0.0851596055827	0.409876093336	0.245836806573	0.0481625533448	0.0253606515568	0.032278343996	0.124650763029
r	0.037912635145	0.0697080631876	0.225193082274	0.284851746258	0.0934103745816	0.0487536995589	0.082758316492	0.15741213531
i	0.0338358261171	0.0443073763752	0.118308574675	0.311845216353	0.216276712194	0.0866117897196	0.0853825435773	0.10343200338
n	0.0216258414996	0.0192438612897	0.0547380389903	0.316207643651	0.309613859398	0.122561431507	0.0601430105258	0.0958663465303
a	0.0204935501714	0.00935094482962	0.0285907402134	0.250866402417	0.329497544066	0.192634163436	0.0687814105086	0.0997852832804
r	0.0178977266933	0.00593186227046	0.0169569140111	0.179414885539	0.314548497355	0.236140314479	0.120107533236	0.109002320303
t	0.0177858834996	0.00744056075635	0.0135956248904	0.135152065113	0.226611036185	0.21596225016	0.225568907012	0.15788373077
i	0.0138035775337	0.00671241968178	0.0121704330045	0.0972395090043	0.171532131262	0.25381891072	0.286577355671	0.158145737129
s	0.0099749664012	0.00388942557201	0.00615364136917	0.0638059097148	0.154107725287	0.282405744907	0.304543932224	0.175118711068
e	0.00756794250955	0.00236519040948	0.00341917241332	0.0411840196783	0.117919509362	0.275843446969	0.360949206408	0.190751551761
m	0.0134256733404	0.00201671965943	0.00366188886404	0.0246588108194	0.101328762187	0.260221716323	0.422658430803	0.17202800344
è	0.0168017135618	0.00276239472428	0.00443770638735	0.0159427339398	0.0799102647043	0.194374231441	0.484563694934	0.201207228753
n	0.0200828432085	0.00991160389413	0.0118313272924	0.0154147188933	0.0780291770101	0.136300808947	0.518225862978	0.210203640451
a	0.0206668262227	0.0118689085973	0.0134114087071	0.0126534943111	0.07200469193	0.101708421049	0.531259144326	0.236427147017
</S>	0.0132025168374	0.00681545926645	0.00721747455795	0.00765971575555	0.043056601455	0.0823282819245	0.551688521163	0.288031512509
