 	il	morto	vuole	pianto	</S>
o	0.778026697	0.16112954982	0.0260381693	0.00698439661028	0.0278210662103
p	0.55523704016	0.321364904873	0.0625732139533	0.0111502528406	0.0496744876522
e	0.333753253347	0.533651914424	0.0652177425444	0.0129379607925	0.0544390863347
s	0.204663740049	0.704895346141	0.0466986593748	0.0084967738965	0.0352454625969
a	0.12182920815	0.771708034047	0.0533929495583	0.00846201543883	0.0446077639443
m	0.0763387083033	0.786471988682	0.0545542321861	0.00685269581961	0.0757823883518
m	0.0716316928211	0.740236731561	0.0513542527554	0.0104041340799	0.126373198487
è	0.12066949814	0.65421432452	0.0838478054118	0.031359723318	0.109908601388
n	0.147789777253	0.542777435507	0.200894371871	0.0416774148973	0.066860993816
o	0.10093399584	0.393589428236	0.390479338224	0.0407284357924	0.074268873132
t	0.0462381738376	0.224610793345	0.564996712541	0.0503621169975	0.113792301431
è	0.0244212574315	0.101223352222	0.695912102647	0.0637551316658	0.114688155397
l	0.0119025183585	0.0531762978607	0.728852589949	0.106576636049	0.0994918697323
i	0.00896920505663	0.0350155543591	0.53139725885	0.31980750191	0.104810412577
g	0.0244272422483	0.0250706546279	0.345285271683	0.454539115303	0.150677657326
l	0.0322588863237	0.017028223792	0.225333006761	0.508884854434	0.216494958433
a	0.0154011746567	0.0114186053122	0.0986881677403	0.613906476811	0.260585504735
m	0.00711385967768	0.00878895635233	0.0606169532268	0.64520901827	0.278271193289
m	0.0107619938964	0.0144373065238	0.0411991670356	0.62728740809	0.306314107685
è	0.0244615421637	0.015692547403	0.0276799041452	0.621577020697	0.310588966907
n	0.0353368905819	0.020608923148	0.0349888831484	0.613299670232	0.295765615369
o	0.0259223696941	0.021981204844	0.0349255782695	0.531204638077	0.38596619419
</S>	0.0143795658786	0.0142803950265	0.0212557597147	0.495503068038	0.454581218095
