 	e	che	cucino	</S>
c	0.758028547	0.02742137167	0.115256088047	0.0992939343735
e	0.712296471	0.0884711578633	0.0993948703383	0.0998374336488
p	0.5209174344	0.258561692461	0.136009955045	0.0845109025063
u	0.3058763298	0.389110157487	0.200344408366	0.104669087545
m	0.198967426033	0.409640882496	0.28093842791	0.110453210463
a	0.137228437384	0.372671540832	0.360343437871	0.129756561369
r	0.112937746068	0.318771345077	0.40105814629	0.167232729303
è	0.067119022156	0.266834691406	0.446954078363	0.219092177948
o	0.0448186541376	0.182313344609	0.481761617788	0.291106376916
</S>	0.0252946490972	0.140628549145	0.516181048394	0.317895750858
