 	l	ha	scritta	</S>
t	0.839235431	0.0619926905	0.039817488676	0.0589543739775
o	0.675739062333	0.265260248633	0.0212823495093	0.0377183139334
è	0.343091195288	0.586211300544	0.0517465863254	0.0189508876591
g	0.134767027873	0.588528874181	0.215924784607	0.0607792765637
r	0.0951808885577	0.39523401806	0.358917997802	0.150667041219
a	0.0957980951006	0.316527818267	0.385513700201	0.202160362728
t	0.0670037483549	0.230025820802	0.459002060734	0.243968381704
s	0.0429296499583	0.116521838601	0.518301779578	0.322246729897
e	0.0284855994384	0.0550267627603	0.526868668526	0.3896189569
</S>	0.0158760832476	0.0322775754202	0.539011577263	0.41283475925
