 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.8371059054	0.05148116927	0.0492242482511	0.00506067049673	0.0133413870111	0.0032795311649	0.0103730593577	0.0301339886963
u	0.724637340733	0.16712431329	0.054302139653	0.00514864176713	0.0128511331948	0.00189612412513	0.010123439231	0.0239168749229
à	0.474107751464	0.421158233763	0.0546948154462	0.00671514897904	0.00750073485247	0.00350114450748	0.0101064545387	0.0222157719398
i	0.206665596988	0.613180373254	0.121120149215	0.0143110765063	0.00660611543416	0.00443349718096	0.010450017303	0.0232331958246
m	0.0945943797027	0.587873927751	0.220405401872	0.0243431159088	0.0154251662047	0.00501348990432	0.0104284625218	0.0419160436773
è	0.0625781294476	0.464111560584	0.343036277291	0.0418810166696	0.0222019448102	0.00768307512011	0.01054303004	0.0479649493942
r	0.0382555817312	0.341215663395	0.507871387764	0.0447450416932	0.0164075776921	0.013691082874	0.00907208527973	0.0287415277393
i	0.0206035251489	0.210924160372	0.565586731255	0.136341214408	0.0190031212907	0.015887855752	0.00983193483944	0.0218214417196
n	0.0102041920781	0.111192767351	0.580678585752	0.227828342403	0.0295569893636	0.0113182578573	0.00797217426261	0.0212487648832
g	0.0149733005954	0.0568403466637	0.617576191251	0.173662419048	0.0432061749545	0.0119970178558	0.0198066708309	0.0619379471064
h	0.0237595696645	0.0475805401679	0.58763844575	0.121288293996	0.0618957106182	0.0157021008306	0.028729875197	0.113405565348
ì	0.0188420742969	0.0387936190826	0.642962332583	0.107673341265	0.0663058030707	0.0174028228809	0.018150336913	0.0898697646413
z	0.0107354236261	0.0322326358209	0.711964190861	0.120481266555	0.0532073786682	0.015152162769	0.0198829774117	0.0363440135204
i	0.00706642169863	0.0198873277938	0.48241464518	0.322666710452	0.107182809403	0.0180153380897	0.0236102526372	0.0191565431601
n	0.00326940345669	0.00746447931733	0.20196092362	0.513044169484	0.201825263134	0.0311980493632	0.0160741740257	0.0251635461278
a	0.00206476489835	0.00344564759789	0.100556356827	0.444091744495	0.329830274378	0.0653734171211	0.0176686017752	0.036969143077
v	0.0026197289848	0.00338407218388	0.052058440429	0.369191273498	0.383211968793	0.100017707907	0.0428779439584	0.0466387954421
o	0.00299127310775	0.00351709699439	0.036196715147	0.280589960699	0.396844648931	0.162897077502	0.0631845055861	0.0537786859838
r	0.00586206994636	0.0055929219509	0.0255836939377	0.167592303766	0.441707519644	0.212299984967	0.0627688537954	0.0785926591439
à	0.00677157599988	0.0108596111035	0.0226566658239	0.104558992435	0.413112111215	0.232988531456	0.0835376954985	0.125514827844
s	0.00559193924341	0.0125421176411	0.023937189196	0.083176101405	0.329265241738	0.279814007552	0.140922669293	0.124750743081
o	0.00501944486354	0.00801664566551	0.0230268808014	0.069811653695	0.213319924379	0.323015433584	0.248420210058	0.10936985576
m	0.00344995020436	0.00563848023849	0.0156466697737	0.0343036740117	0.135760968526	0.332106118195	0.346233458686	0.126860695215
e	0.00304249752657	0.00506940908168	0.0145581176196	0.0210054956066	0.0790415199487	0.291900769398	0.453454434895	0.131927681167
o	0.00124659899498	0.00231350125099	0.012244988545	0.00860321262887	0.0380720906496	0.254315779666	0.517844287632	0.165359439056
t	0.000943514471337	0.00113704295152	0.0082296585046	0.00428654892029	0.0312334496099	0.227842584555	0.528548814544	0.197778290905
s	0.00140604550813	0.00119316429747	0.00677167532075	0.0050540108205	0.0363064955373	0.155828112352	0.609842584848	0.183597882206
o	0.00109430796006	0.00121333703612	0.0087440617588	0.00516320178423	0.0297277058131	0.075933386384	0.600474612949	0.277649396887
m	0.000779316654947	0.00107456374113	0.00743750733868	0.00272851386841	0.0173996146219	0.0424733910347	0.630708030316	0.29739902998
ì	0.00122672017902	0.00259362008538	0.0145985419658	0.00265383174234	0.0142397614705	0.0268425773049	0.607230342905	0.330614610611
</S>	0.00147613420928	0.00385499643655	0.0237242965042	0.00311244501547	0.0153116909037	0.0206607585824	0.488009694652	0.443850043306
