 	l	ho	sentito	che	veniva	</S>
o	0.827453665	0.117417854582	0.0163428853973	0.002982029654	0.0140132059031	0.0217903949225
n	0.611234286333	0.188177123607	0.0734977128418	0.0245843343075	0.0287703480454	0.073736268969
ì	0.306419738044	0.397436812702	0.111545759847	0.0349137140538	0.0377950454151	0.11188894266
k	0.272791213948	0.524734985834	0.0997420116557	0.0194253745426	0.0216260345117	0.0616804081667
u	0.256262174413	0.433491260945	0.161219788192	0.0929896620209	0.0268477550106	0.0291894157222
s	0.120150387805	0.306078394888	0.263302112064	0.22961024134	0.0353197973769	0.0455390956919
a	0.0754891764948	0.152673602455	0.229097581621	0.399205054447	0.077662003679	0.0658725850418
k	0.0530659771725	0.064121141889	0.130416488207	0.537966223082	0.124150562386	0.0902796623043
a	0.0489100228381	0.0295968909297	0.075222885189	0.520330698094	0.203935199909	0.122004383965
è	0.0370296800953	0.0182549314109	0.0315859970703	0.328880221965	0.47134842197	0.112900785335
r	0.0148822329314	0.0151919301276	0.0184284318526	0.181399635122	0.691749396657	0.0783484066103
k	0.00848462505549	0.0122411761008	0.0173521236927	0.151581118541	0.717050585552	0.0932903591821
a	0.0366074798004	0.0087387860681	0.0118976649367	0.107761967324	0.645907277184	0.189086768087
t	0.050362044803	0.00696935405813	0.0101509507614	0.080169970352	0.589224812395	0.263122796492
o	0.039177103964	0.00609832045274	0.00916186861947	0.0520863317367	0.490578745465	0.402897603961
</S>	0.0429108120482	0.00326436494502	0.00516721294323	0.0369257518973	0.382174995733	0.529556883981
