 	vuole	pianto	</S>
e	0.8129862998	0.088963887912	0.0980497844785
t	0.804426165267	0.0864405755053	0.109133208238
è	0.788098113089	0.0993504320351	0.112551404651
l	0.823634655696	0.103773036812	0.0725922864723
i	0.588975712992	0.333355516871	0.0776688393461
k	0.270784757004	0.548752615624	0.180462705997
l	0.103851183648	0.620902599208	0.275246233425
a	0.046853847478	0.660749129736	0.292397052153
m	0.0206269761173	0.644972704579	0.334400343039
m	0.0156888191124	0.626539176193	0.357772037591
è	0.0205477960708	0.630909057398	0.34854317212
n	0.0367353417729	0.609695387666	0.353569238707
o	0.0348517128316	0.430811071222	0.534337150902
</S>	0.0183870827368	0.294305790811	0.687307052451
