 	sta	seduta	nel	giardino	</S>
s	0.838150287	0.0323792800934	0.013020335675	0.018994129442	0.0974559678821
t	0.786730347667	0.0473896803645	0.0319694334517	0.029654153954	0.104256342643
è	0.652961958556	0.195583477855	0.0376310580759	0.0417389053847	0.0720844853534
i	0.373628876292	0.520421348618	0.0317419871604	0.0278934611149	0.0463141980611
k	0.147912505171	0.631737370206	0.0543208486232	0.051685703285	0.114343452928
a	0.076446966159	0.575064420069	0.126530651674	0.0728790803617	0.14907878569
s	0.0587166155943	0.49976179669	0.220971908491	0.0793534297206	0.14119622563
i	0.0431306026328	0.350479908163	0.359561622164	0.0915226965069	0.15530520511
m	0.0233658434893	0.298173848454	0.458897749388	0.0730701612356	0.146492488103
m	0.0549037420461	0.272042534218	0.400408558863	0.0567956707785	0.215849564319
è	0.122029696626	0.294402364673	0.301361026021	0.0735209529595	0.208685929591
n	0.136808534715	0.305795668798	0.334261612674	0.103273646653	0.119860451864
i	0.0830248348327	0.182874875956	0.435952712225	0.196797374084	0.101350121488
s	0.0333515630544	0.0672152584853	0.462798599875	0.296686900361	0.139947673256
t	0.0197771089939	0.0306629372118	0.403537160892	0.347416181854	0.198606618704
o	0.0135603390262	0.0157552288017	0.307456983391	0.444562846351	0.218664595627
n	0.00751396093476	0.00712115677097	0.280655052457	0.47246596345	0.232243798812
g	0.015272313002	0.00940009399632	0.238877165452	0.427975773817	0.308474568859
h	0.0465918308687	0.0338072546054	0.166601759217	0.374169291272	0.378829879956
i	0.0790036880399	0.0431844296482	0.123840424012	0.415891003757	0.338080506069
a	0.0603589509264	0.0230711417583	0.0771081524919	0.553099213919	0.28636251949
r	0.0219849577212	0.0101638971019	0.0803261824646	0.59999774464	0.28752720703
d	0.0510275541201	0.00705111884357	0.0799194980429	0.51534510888	0.34665675931
ì	0.0630444812077	0.0249811713029	0.0644640743536	0.48691213696	0.360598163203
n	0.0333100265347	0.0368119166332	0.0578417963976	0.548371299653	0.323664983668
o	0.0213984874192	0.021259741662	0.0293914329243	0.420737796951	0.507212573823
</S>	0.0119777481692	0.0112052131972	0.0170771478351	0.280708711075	0.679031236912
