 	la	casa	la	costruisce	il	mastro	</S>
o	0.740729469	0.2237202974	0.003616308645	0.0031696929542	0.00205910958664	0.00400951848101	0.0226956074268
s	0.511220079133	0.3927516726	0.0266467911183	0.0278349083902	0.00588440934797	0.00379883724321	0.0318632541505
p	0.332818643444	0.460847990667	0.0740194980861	0.0466980964734	0.0252788190793	0.0124110444988	0.0479258535736
ì	0.229004986748	0.571633392222	0.089891086142	0.0349829684985	0.0276294608824	0.0135100060056	0.0333480873438
t	0.166656524649	0.638256255407	0.0982749823807	0.0327034822128	0.0263225467741	0.0070217577568	0.0307645190746
i	0.115874177243	0.559150319136	0.232693006127	0.0312641969843	0.027874962518	0.00511883808973	0.0280245930082
o	0.0418844718177	0.384209346379	0.496917375376	0.0446758701281	0.0146755907793	0.00287269415716	0.0147646685274
f	0.0190008536892	0.176360150526	0.617095185125	0.090748158776	0.0230669534331	0.0299122445531	0.0438163936971
a	0.0115269357367	0.088027959742	0.623379539042	0.146103487459	0.0341091527444	0.0407822345208	0.0560706349524
b	0.0093824102383	0.058225098434	0.594733421014	0.19810961662	0.0304534111481	0.0321606028747	0.0769354464915
b	0.0252731914052	0.072576435298	0.459746006338	0.200032970207	0.0334765996694	0.0466660306496	0.162228746399
r	0.0459915398017	0.113762938899	0.315431488779	0.170034371802	0.0386170396765	0.0551789945632	0.260983580068
i	0.0363657440799	0.0902081672197	0.213255125593	0.273874693134	0.0832200032255	0.0590522334104	0.244024012963
k	0.0169446525529	0.0390421869682	0.161012518398	0.405035992378	0.131469059475	0.0809774724595	0.165518133325
è	0.010167573637	0.0208922987377	0.123335534066	0.471494320793	0.153474351025	0.1021406	0.118495374646
i	0.00413463221585	0.00894932316065	0.0747830833353	0.412302627264	0.353033929408	0.0775176236527	0.0692787804487
o	0.00177203470405	0.00465114914437	0.0312321354171	0.247629270088	0.574556107136	0.0873768348002	0.0527824590896
m	0.00224715398998	0.00473031997686	0.0164546333977	0.152100307696	0.555462236245	0.17411419881	0.0948911376325
à	0.00242049428937	0.00400577632307	0.0104303387152	0.100479041899	0.411409330815	0.357359930483	0.11389503944
s	0.00168502876349	0.00270815114919	0.0073000369156	0.0636667349663	0.262212159138	0.546005542828	0.116422354813
c	0.00359039913351	0.00303578319645	0.00875153611307	0.0495267983888	0.162953306246	0.573967162943	0.198174996936
i	0.00523001695141	0.00318758258615	0.00830907449016	0.0433629802896	0.173104572349	0.527604606648	0.23920107051
a	0.00352874748536	0.00275266439248	0.00569210410622	0.0239380110072	0.16440580705	0.458924597156	0.340758004837
</S>	0.00191377561021	0.00218598389589	0.00582148255866	0.0182792287296	0.112021582325	0.407562504488	0.452215409419
