 	lo	sentii	che	arrivò	</S>
t	0.910441015	0.021479044139	0.0075818046614	0.029618195873	0.0308799195232
o	0.828059781	0.12028574058	0.0184492808205	0.0178599789363	0.0153451985157
n	0.564297561433	0.269829962527	0.0619350087735	0.0610159634221	0.0429214354866
ì	0.281224989511	0.466127240842	0.0851280116912	0.0917796981407	0.0757400211035
k	0.270953828237	0.537397086147	0.0659711933971	0.0588851681669	0.0667927632278
u	0.268932083712	0.430133264382	0.162397467799	0.0804537133023	0.0580834850493
s	0.127465125884	0.315272143727	0.384270697933	0.0970694916341	0.0759225413468
a	0.0762870084514	0.168326546176	0.563924329978	0.106177233545	0.0852849124126
k	0.0503975046357	0.0764492396053	0.605821909993	0.151770690115	0.115560676894
a	0.0393592672255	0.0388919379351	0.502485754798	0.270449654305	0.148813443955
ì	0.0234877904763	0.0256343148304	0.286925295999	0.555794834102	0.108157829438
r	0.00897075426365	0.0164002653704	0.115678873231	0.771637536034	0.0873125573813
t	0.00574908463695	0.00915842949373	0.0565709591283	0.744321624011	0.18419988734
e	0.00629050684134	0.00573882044956	0.0334670689041	0.603921751337	0.350581880944
</S>	0.0066658339042	0.00434560043926	0.0290970456141	0.524618815668	0.435272748472
