 	dovevo	comprare	il	pane	</S>
ì	0.75471681719	0.00225810769	0.176177584007	0.0258721142063	0.0409752986842
c	0.760839317815	0.0136412611273	0.173119570996	0.02771327526	0.0246864887909
h	0.739648399516	0.0371040529704	0.14910497806	0.0470467746939	0.0270957448196
a	0.590684464319	0.193751893081	0.153723012354	0.0409527161074	0.0208878678192
n	0.433287657126	0.33464997746	0.146716205458	0.047643858558	0.0377022595364
a	0.402771263114	0.350339243753	0.144310710913	0.0538180409593	0.0487607138921
a	0.302029458078	0.403268014418	0.223314818931	0.0354207502664	0.0359668786107
f	0.160127068665	0.351584497973	0.370843881377	0.0646235356955	0.0528209364202
o	0.118738620798	0.208977119591	0.452902254126	0.110604322032	0.10877764951
r	0.141863297979	0.140194262637	0.421972964175	0.156788265957	0.139181184096
à	0.118732665637	0.0976149733457	0.427958351858	0.174208688179	0.181485306291
s	0.08044324661	0.0817817027019	0.451933996619	0.17555333064	0.210287736164
o	0.067300837859	0.108128692074	0.368848102006	0.26710269508	0.188619650655
t	0.0484767493192	0.0893539255873	0.262047391802	0.40399520196	0.196126643679
o	0.0305850975578	0.0883408751904	0.177511927361	0.536279057987	0.167282947087
t	0.0217652110053	0.0828208363521	0.0949347532137	0.625625504662	0.174853640364
s	0.0120198833486	0.0707103722507	0.0674230149512	0.658152642887	0.191694039047
o	0.014725656942	0.0657478983327	0.0476480200171	0.635379276296	0.236499125806
m	0.0160461198524	0.0280513325918	0.030587972639	0.663491721432	0.261822844942
ì	0.00801397231557	0.0127486545396	0.0221037224797	0.567962981144	0.389170673721
</S>	0.00593577896514	0.0079953378006	0.0123058164199	0.410072435572	0.56369067786
