 	sta	e	dorme	nel	letto	</S>
s	0.829181941	0.0526483213	0.02387240655	0.0047727152513	0.0115515312917	0.0779731237137
t	0.744894923	0.0791406913667	0.0364988287967	0.0434467186104	0.013094430249	0.0829244440376
e	0.494923017533	0.349760052789	0.0363829219989	0.0566541376661	0.0095039806136	0.0527758947014
c	0.228669558151	0.533118571463	0.0885584383996	0.0291566239914	0.0582472040657	0.0622496390263
e	0.113439703966	0.554355401688	0.170184655	0.0218834305605	0.0751239594472	0.0650129171071
p	0.0550782696973	0.521337581896	0.2919758796	0.0238186497502	0.0345209767476	0.0732687158297
l	0.0391616687324	0.363058447965	0.355508932533	0.0836167301501	0.0224021828504	0.136252068381
ò	0.0372102414308	0.280155942855	0.425192984178	0.10844852155	0.0248881030544	0.12410416788
n	0.0219281736103	0.176549133018	0.585251808059	0.0781303728033	0.0292536853061	0.10888678609
n	0.0221109452168	0.109441655006	0.59415727002	0.0761685783078	0.0205449974707	0.177576526867
i	0.0230932191319	0.081481591802	0.45128103134	0.233867080856	0.0298820462949	0.180395025296
s	0.0117155320723	0.0404310022807	0.32719179478	0.412397457285	0.0495593586436	0.158704886913
t	0.0127993796528	0.0316393571736	0.25093878506	0.452810186095	0.0650061029621	0.186806198066
o	0.0126154389995	0.0294876990545	0.154491973113	0.537467670698	0.10207417599	0.163863022503
g	0.00666792208245	0.0166465185052	0.0865874318843	0.600662604899	0.132592468732	0.156843016226
r	0.0107981002348	0.0168704566188	0.0575530052481	0.514318574966	0.167884700568	0.232575081642
à	0.0117580380867	0.0198886700429	0.0545308754694	0.358808066889	0.322749281032	0.232265019789
t	0.00581366533641	0.0150865751283	0.0584893414505	0.25726613953	0.478038514864	0.185305742863
t	0.0304017819968	0.0243272759334	0.0498501129308	0.20593772311	0.421219700021	0.268263341554
i	0.040007940096	0.0297868867844	0.0345249698134	0.135404671917	0.295753441074	0.464522052451
</S>	0.0235682533852	0.0220272725221	0.0233734274514	0.0865056673785	0.260067023537	0.584458357225
