 	si	è	rotta	la	coppa	</S>
e	0.817467413	0.1169742463	0.04498899801	0.0020379607361	0.0062473685774	0.0122839089767
g	0.544395216867	0.154595433007	0.164002111233	0.0104914913214	0.0547040811258	0.0718116038182
l	0.256074648156	0.219069947242	0.280001375878	0.0266505743605	0.102163708377	0.116039792185
à	0.158429435652	0.277741575347	0.351714805093	0.0526978891068	0.0835148283077	0.0759015672082
s	0.117111127351	0.254191229582	0.400953991031	0.0846165808156	0.0543037090359	0.0888233916374
t	0.0901318784503	0.167891294661	0.41240370501	0.0824394989852	0.0486230022453	0.198510540999
i	0.0613460517701	0.101401489614	0.368958713937	0.232899903262	0.0428420387286	0.192551713278
e	0.0416148878634	0.0752626073647	0.261329355399	0.465695613087	0.0473429467897	0.108754593653
c	0.0166387669245	0.0463271645916	0.204922750404	0.458533949696	0.165852483863	0.107724927136
ò	0.00749271092289	0.0218784678339	0.144979419271	0.332566359965	0.413285492221	0.079797554617
p	0.00352282785486	0.013102980844	0.0894283355033	0.206069533055	0.596058322074	0.0918180000723
p	0.0029505242628	0.0398922235347	0.0746102346673	0.120753695905	0.643894126025	0.117899240771
a	0.0041433492784	0.0448844246994	0.0428474613725	0.092611538615	0.520636443942	0.294876845917
</S>	0.0052550411324	0.0235267048005	0.0225483532544	0.0759528404475	0.384627325871	0.488089802959
