 	vuole	andare	a	Lecce	</S>
i	0.828145902	0.0601453608	0.0285061811359	0.009731097674	0.0734713517543
t	0.712706974467	0.111274964353	0.0273203902246	0.0801569415113	0.0685406427673
è	0.645625589289	0.156389570004	0.0278779439231	0.103654009675	0.0664528490061
l	0.655519691763	0.248545449135	0.0134496784959	0.0420783578493	0.0404067885027
i	0.401326149854	0.518532387978	0.0194615197053	0.0273816197431	0.0332983104729
n	0.150167785977	0.670766699326	0.0779386854351	0.0402753351477	0.0608514773723
a	0.0645475974837	0.623848697775	0.181787228478	0.0465132403826	0.0833031805788
p	0.0377571520178	0.472740162992	0.273496256159	0.106358857861	0.109647499549
à	0.0285511506658	0.303150274731	0.39852590072	0.141826076887	0.127946485419
i	0.0190286929277	0.203509629797	0.528476028907	0.153161850296	0.0958237181063
L	0.00887589485453	0.087026462419	0.495858541569	0.280165532839	0.128073581255
u	0.049146136583	0.0446595457197	0.37812947539	0.384811779753	0.143253147505
p	0.0630540515779	0.0325389377179	0.31882860093	0.441870025904	0.14370840968
p	0.0737045968806	0.0305180087977	0.28941884811	0.414516776088	0.191841749105
ì	0.12511831695	0.0327471371636	0.206201265903	0.428753898629	0.207179374169
u	0.0966898525654	0.0236201017621	0.127501300508	0.506172821543	0.24601588699
n	0.040461204903	0.0190930820866	0.114514184323	0.519413802248	0.306517710183
a	0.0263487546749	0.018774488832	0.083848637561	0.411153580016	0.459874562581
</S>	0.0293744435565	0.0202473706772	0.0576609851405	0.292205615308	0.60051163729
