 	non	ha	che	li	aspettiamo	</S>
e	0.678953563	0.11698450515	0.030569071651	0.018560601903	0.0481817503028	0.106750480751
n	0.480507784267	0.30300297925	0.068212262651	0.0525583966703	0.0207036049176	0.0750149011498
è	0.230235444022	0.567217342283	0.072373626257	0.0567737176234	0.0139032774245	0.059496559341
n	0.156408101674	0.650909584094	0.106691909792	0.0388974765211	0.0107877138988	0.036305253567
a	0.0954924492913	0.448670084565	0.288526595597	0.113472988754	0.0191241260063	0.0347137451223
t	0.0374198424971	0.199899362955	0.447177039866	0.193346094918	0.0707248517898	0.05143280631
u	0.0172272376157	0.0843412528317	0.355850020555	0.368730547639	0.111793385318	0.0620575946926
s	0.0183632232126	0.0347015199772	0.195070427852	0.481432358546	0.186429109137	0.0840033531365
m	0.0216233576115	0.0329989067791	0.123846961617	0.386430218315	0.298224700968	0.136875807527
ì	0.0234804811069	0.0363341766197	0.0735045160057	0.337389608705	0.369354750214	0.159936417978
n	0.0366535208767	0.0414418495332	0.0675727012019	0.392470482968	0.347251224405	0.114610222193
o	0.0291572663657	0.0350374003177	0.0547349086706	0.353880609723	0.329696468068	0.197493324931
m	0.0130581640237	0.0181947099672	0.0388682388269	0.285279340374	0.352580038883	0.292019458086
e	0.00778270678412	0.0128201295992	0.0320714699203	0.222588279758	0.341442573754	0.383294819138
</S>	0.00490896543179	0.0078842816328	0.0166976924271	0.129102786329	0.344955207177	0.496451056569
