 	perché	aveva	lavorato	molto	</S>
j	0.925832715	0.0264145466	0.0103245669384	0.00548806919337	0.0319401445054
a	0.882666519667	0.0438701515933	0.0272365277639	0.0190674649116	0.0271593195115
t	0.675470591222	0.157048685971	0.0641547690735	0.0472261093752	0.056099815671
ì	0.466575086407	0.351975629124	0.0717773218112	0.0490981406071	0.0605738255683
ì	0.336297434716	0.557082807708	0.0489275972637	0.026548601535	0.0311435233584
c	0.234341934285	0.664244315236	0.0467256279212	0.0162570978489	0.0384310024791
h	0.175455618095	0.676638385079	0.0708592245537	0.0173184578736	0.0597283373484
e	0.106538936783	0.509188366626	0.318391570298	0.0193142314552	0.0465669123008
p	0.0541753088623	0.281154737142	0.467314327766	0.101239371525	0.0961162546506
o	0.0350055759078	0.166479753047	0.530894601589	0.151312807608	0.116307231834
l	0.0251454931624	0.101255392082	0.627996235863	0.158790634436	0.0868122010693
e	0.0157602346001	0.069869008574	0.541003324621	0.220951390812	0.152416027681
m	0.011485238947	0.0446679148047	0.50107986554	0.256739196071	0.186027767789
ì	0.0103737662706	0.0421211115882	0.512843294513	0.27750591669	0.157155866725
s	0.0158987741191	0.0369002614961	0.493226329504	0.326577769763	0.127396814008
o	0.0168868675224	0.0260720133304	0.324088361741	0.525669161921	0.107283596336
n	0.0083282846954	0.0120694446827	0.13581803482	0.715651937307	0.128132351642
t	0.00786910308854	0.0108336761818	0.07027015968	0.716524636436	0.194502414529
a	0.00539837489567	0.00739121235007	0.038577235444	0.735324204812	0.213308920362
p	0.0043241335884	0.00438938175876	0.0223456381907	0.771845948937	0.197094892576
o	0.00394292256065	0.00336355195919	0.0163886866936	0.781438477646	0.194866385448
d	0.00356518186189	0.00281347034837	0.0097449137212	0.802226617215	0.181649851427
d	0.0051302032904	0.00363369418443	0.0139681403991	0.759867078405	0.217400936967
h	0.00495725711887	0.00299058784481	0.0172358148064	0.709397615468	0.265418811195
ì	0.00378989056734	0.0041126136992	0.0213135168043	0.680148841823	0.290635244191
</S>	0.00295462956475	0.00574222674099	0.0259418727953	0.660058713911	0.305302655596
