 	non	sono	ancora	vestita	</S>
e	0.6263610987	0.1250873601	0.085217854159	0.0119225742975	0.151411069601
n	0.39121592598	0.346308028167	0.114838490766	0.0125720091622	0.135065449399
ì	0.15750079472	0.665011595389	0.0850163069953	0.0119564669687	0.0805147870406
m	0.0766653049533	0.820227667796	0.0475598413984	0.00572877956023	0.0498184458935
e	0.0437076980178	0.614409927932	0.290983392659	0.0102519687121	0.0406470554578
a	0.0219737783566	0.261494658464	0.613332845553	0.0298631711187	0.0733355257259
n	0.0097528866842	0.109812388428	0.604660091918	0.0960515846782	0.179723024934
k	0.0099769417134	0.108334277263	0.412364609706	0.135803465493	0.333520752583
ò	0.0261479653285	0.160799557354	0.279347460235	0.124856935631	0.40884815444
r	0.0422902840028	0.152989352518	0.376758921412	0.15352650861	0.274434984347
a	0.0373888449027	0.0868634673003	0.397031169404	0.27111129607	0.207605314449
e	0.0200865741853	0.0349634370024	0.237383355068	0.428957953757	0.278608806963
n	0.00798027272377	0.0150822040461	0.124451397663	0.539127179919	0.313358989188
d	0.00531901548908	0.00849355153537	0.0581552094323	0.575787171506	0.352245022316
i	0.00850022285891	0.00673330714379	0.0448180830888	0.554944909195	0.385003464905
m	0.00791029638717	0.00460070080973	0.0339254946696	0.608957120892	0.344606424242
è	0.00414463284013	0.00472918582393	0.0523886292042	0.579819478551	0.358918122954
n	0.00587752169968	0.0132951771338	0.0670161164624	0.50702121277	0.406789986985
i	0.00753839743159	0.0156018628422	0.0389056772428	0.419635152057	0.518318896995
</S>	0.0068772435303	0.0108046653911	0.0252109992344	0.307389144228	0.649717933498
