 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.847962556	0.0630524047	0.0152395085352	0.00623000183507	0.0228114001433	0.00411613596044	0.00774549268789	0.00486337071733	0.00410363415257	0.00111383647852	0.00155155691287	0.00143351701679	0.0197765855589
s	0.767449227333	0.0910811366733	0.0544682057152	0.00816567167107	0.0110674903146	0.00391916614737	0.00313676860222	0.00308848533259	0.00215884407824	0.000776067425852	0.000877312654673	0.00269516551008	0.0511164948694
t	0.643108677778	0.119025179798	0.109651851705	0.0162252966684	0.0267190372095	0.0100515756475	0.00640841362727	0.00506388253786	0.00327692020941	0.00153834161195	0.00118654343662	0.00337244778784	0.0543718605788
è	0.566179429926	0.214637224266	0.122382492835	0.0148028452595	0.0302309826238	0.0112561813058	0.00743717188916	0.00477990872069	0.00319036534187	0.0016516375189	0.00113876224681	0.00176011300343	0.0205529048365
o	0.357461813482	0.428602680955	0.168756223412	0.00866370621383	0.0129937766233	0.00532360191318	0.00284852724781	0.00200574522341	0.00128674334211	0.000815884854041	0.000599805956401	0.000980216896982	0.00966129195349
s	0.139661924934	0.522473052298	0.255856000937	0.0157107710399	0.00966664992777	0.00432830523071	0.0019972279653	0.00352009676525	0.00296773418819	0.00112562392331	0.000617708133771	0.00212614481483	0.0399487953406
t	0.073567635978	0.488436763813	0.294996174179	0.0301656730666	0.0190464511406	0.0138062668836	0.0039231047549	0.00737291022375	0.00674829087213	0.00272829388357	0.00213281594436	0.00404672644481	0.0530289843801
o	0.0475655432013	0.438715543271	0.376175683926	0.0469250384622	0.0251743613315	0.0172466220483	0.00469505264137	0.00683747098458	0.00625071447904	0.00264220920942	0.00250335190999	0.0031549878074	0.0221135090242
t	0.0194218413818	0.338594139224	0.478865564975	0.0643778597274	0.0243935671298	0.0146056980032	0.00627672418452	0.00965481629553	0.00816834556495	0.00235783275937	0.00170004817453	0.0027711911778	0.0288124106798
e	0.0097749540386	0.253798446361	0.528026595992	0.0991523081091	0.0295730696426	0.0142062521644	0.00761920213117	0.0111950164772	0.00901190825625	0.00236628847006	0.00152722273483	0.00264702412386	0.031101724735
l	0.00617560040393	0.174405276587	0.564425629997	0.14349803637	0.0380046049462	0.0145788034115	0.00629758053106	0.0104629112964	0.00918240291475	0.00247346043229	0.00250366675226	0.00799537357035	0.019996686381
è	0.00513623892611	0.0902506237157	0.650654605332	0.14710146339	0.0333275810674	0.0159579404825	0.00590114660595	0.0094593782144	0.00884284622378	0.0025656297235	0.00274932239818	0.0111016596528	0.0169516076035
f	0.00534015787324	0.0538532210606	0.686220451777	0.178926322397	0.0246478529958	0.0154961763215	0.00506088678758	0.0059074903644	0.00509542503546	0.0026061802239	0.00149657848015	0.00616658467031	0.00918265268303
o	0.00503686579681	0.0312011535155	0.483044381659	0.347153514999	0.0764412820653	0.0229186042158	0.00994302221119	0.00693358904147	0.00474199052849	0.00264605696863	0.00110743112745	0.003095865984	0.00573619356768
n	0.00264377612866	0.0151495592672	0.242381984086	0.475839659	0.158720868155	0.0431484706053	0.0125349554264	0.0168857251672	0.0060034327995	0.00335513586488	0.00182373395455	0.00373333657123	0.0177793404657
o	0.00201697884173	0.0089645708182	0.116460711235	0.442882067667	0.288370189518	0.0624786189751	0.0173040766048	0.0215760367357	0.00697871838117	0.00380115920429	0.00228869864992	0.00410085563774	0.022777314041
e	0.00113645337908	0.00373309913473	0.0457767962783	0.318837959089	0.507216889839	0.0594632274117	0.0245986760149	0.0160289819652	0.00612692166306	0.0023353684705	0.00160709983107	0.00240197768498	0.010736536965
a	0.00059895317278	0.00173974256981	0.0175026627928	0.181699889496	0.66129159928	0.0657969965839	0.0322319054716	0.0168461962551	0.00716809046369	0.00200094814257	0.0014841049903	0.00305597642487	0.00858292762033
d	0.00198122292311	0.00245634052784	0.0131769023909	0.120541849899	0.599167064893	0.146041972795	0.0322447009039	0.0229727761517	0.0082361979279	0.00466792169552	0.00266896013602	0.00939612745976	0.0364479705914
r	0.00377304352394	0.00426102524448	0.036777793997	0.0919108444997	0.367258404231	0.262599503598	0.0504575528413	0.0488338751572	0.016497710716	0.0130914718785	0.00744020770534	0.0163258970733	0.0807726372598
e	0.00289706532751	0.00338459286776	0.0386037765062	0.0525430980999	0.220734994344	0.349674399866	0.11429924014	0.0774093322924	0.0284698297453	0.0173406539328	0.00986024363645	0.0129779955758	0.0718047249286
f	0.00194712617954	0.00186783430913	0.0146041724373	0.0338610310666	0.212167959848	0.392231911289	0.12068609328	0.0784987822975	0.0306860798751	0.0183739914176	0.00941778002015	0.0175966736366	0.0680605491082
f	0.00359424830328	0.00458101908418	0.0096348139671	0.0469420174555	0.173229409149	0.367024319696	0.0825775187933	0.0715491784992	0.0307172076784	0.0253509133392	0.0174110432667	0.0502976466455	0.117090648583
