 	voglio	che	Maria	venga	domani	</S>
i	0.821161378	0.092967608	0.017938350278	0.011815248265	0.0273484634738	0.0287689302906
t	0.729445535067	0.0701461746667	0.054543304724	0.0319611956572	0.0379748538139	0.0759289019761
è	0.697115780756	0.0686060395556	0.0627993284593	0.0380062466906	0.0410334417984	0.0924391450656
l	0.751510080252	0.116115951119	0.0529007348284	0.0149671572015	0.0205602354772	0.0439458773861
o	0.477394364171	0.361862339706	0.0867884003648	0.0270694701205	0.0171808516057	0.029704647218
n	0.177001006997	0.547904659235	0.147586400055	0.0560410835035	0.0186336342886	0.0528332442577
a	0.0741335249063	0.483506718545	0.247338690685	0.108596864418	0.0188237420429	0.0676004624862
r	0.0455827376028	0.430379633648	0.269625537828	0.121152734759	0.0309858635943	0.102273511085
t	0.102730357048	0.410392242549	0.169128317236	0.073295154693	0.0334298438114	0.211024083692
i	0.111478186271	0.32271527694	0.176358562839	0.132485995918	0.0182354664571	0.238726471079
à	0.0425013810135	0.18297552743	0.274040919213	0.198728264639	0.153337285059	0.1484165831
v	0.0209428023604	0.0988414785944	0.286133140404	0.13623911368	0.347465659486	0.110377759785
v	0.0271996539011	0.0898895846225	0.258700327935	0.0949105576267	0.315105817553	0.214193994846
r	0.0735519411437	0.147827126967	0.212327643578	0.0848217376089	0.162032472242	0.319439013819
i	0.0847321647244	0.154713106395	0.187765550939	0.17055786247	0.0825955376807	0.31963574789
i	0.0397149874726	0.0709330509299	0.144856257622	0.291209832157	0.195014819494	0.25827102843
M	0.046588520802	0.0701362451993	0.0745691615033	0.264568488252	0.287890650831	0.25624686183
a	0.0650508834619	0.0771980847604	0.0627906288078	0.232562478951	0.260843762344	0.301554073697
r	0.0634744891042	0.0825699327635	0.0484652984493	0.195223178104	0.248996142401	0.361270886599
ì	0.0466814591556	0.0762323741732	0.0307085588851	0.154032923755	0.321134982687	0.371209691366
a	0.0201220100304	0.0292234719695	0.0248936283602	0.132181854765	0.299118338896	0.494460750122
</S>	0.016018962345	0.0197582853034	0.0177197030849	0.104384539753	0.185838856448	0.656279730061
