 	io	non	ho	niente	da	mangiare	</S>
e	0.904204637	0.0228971682052	0.0022722530111	0.0022267576615	0.00254994197147	0.0123973846018	0.0534518887816
v	0.8115691724	0.0551021209684	0.014453248736	0.0791420850258	0.0061548446342	0.00722334519221	0.0263551592046
ò	0.594839838867	0.208861713923	0.043543693512	0.110077445915	0.00846338462607	0.0062864870194	0.0279273864365
e	0.378119098309	0.446416689308	0.089252203104	0.0453745411517	0.00476470498669	0.00403394344603	0.032038758675
n	0.19158408959	0.407428986103	0.264426296501	0.0859732124839	0.00716810091756	0.0100348730342	0.0333844291532
è	0.09512885315	0.223186019034	0.457062892567	0.170717899828	0.00908446285252	0.0122791612807	0.0325407373111
c	0.0555489010033	0.166482789078	0.438264371922	0.279808583676	0.00783234738084	0.0125315508576	0.039531431217
h	0.0488449479544	0.112320828159	0.313379861707	0.451621199892	0.00870016877161	0.0148915892205	0.0502413939283
o	0.0351773210761	0.0607252167263	0.250595532236	0.550684865964	0.0461914144385	0.0126849989068	0.0439406659854
t	0.019526556512	0.0354746459421	0.186776578345	0.584668415455	0.0750024815462	0.0510513556089	0.0474999711449
ì	0.0139166397834	0.0218427409607	0.0909402362283	0.685147231285	0.0736578377821	0.0682946508763	0.0462006886648
p	0.00875849095321	0.0128184451122	0.0553036331894	0.734089934428	0.0906022838607	0.0640227543721	0.0344044591816
o	0.00587108149577	0.0089048952686	0.0379098002918	0.528014285476	0.278073581687	0.097252261104	0.0439740491272
t	0.00369408447963	0.0053370502194	0.0178590403126	0.303987429692	0.443130845896	0.144520939568	0.0814706578904
i	0.0034696214631	0.0041288204218	0.0101696329182	0.183725592684	0.443366597965	0.251512805456	0.103627010545
n	0.00265238346312	0.00235572773633	0.00577057808407	0.0831625624813	0.433920386655	0.364528478219	0.10760992456
a	0.00245861818418	0.00173909695102	0.00402843398402	0.0402684385158	0.372853718885	0.454228233406	0.124423495499
f	0.00287852274493	0.00175221304445	0.00314695905467	0.0235790269873	0.286620010962	0.551518413802	0.13050491413
à	0.00287317108197	0.00184544238396	0.00337373727302	0.0188982989291	0.179186379921	0.646508205934	0.147314858274
o	0.00171356844968	0.000977989123601	0.00232554934781	0.0106697769397	0.0849709649737	0.664719645311	0.234622560758
</S>	0.00108359324333	0.000700508610905	0.00169948665891	0.00764734820485	0.0507417745869	0.632631160655	0.305496164379
