 	il	morto	si	piange	</S>
o	0.786865638	0.15733294413	0.0252253006105	0.0053112364588	0.0252648505715
a	0.536989780687	0.351638250977	0.0794201596457	0.00599134664253	0.0259604523571
p	0.259469901516	0.513366277326	0.134131265502	0.0280229202608	0.0650096556264
e	0.119718643059	0.665691095109	0.105286477681	0.0373997423316	0.0719040802828
t	0.072209692573	0.77135527237	0.0841652489603	0.0215194259219	0.0507504258329
a	0.0486215784377	0.734237766123	0.131071606653	0.0251206136073	0.0609484579896
m	0.0287414619526	0.669152966708	0.182915421298	0.0274717860691	0.0917183507199
m	0.0506092844109	0.615183175569	0.155820210779	0.0325465430564	0.145840762778
è	0.0946770628036	0.55226816319	0.13059009826	0.0797512735855	0.142713330114
n	0.125235946475	0.436656387063	0.212230958153	0.129431451128	0.0964451503447
o	0.096508956959	0.291114515754	0.385849465384	0.136392146509	0.0901348769816
i	0.0352358382828	0.151140148438	0.525039729128	0.198955162503	0.0896291743405
k	0.0183674961861	0.071092523106	0.452008371376	0.301591827501	0.156939879327
l	0.0332795839249	0.0438534637953	0.257850487925	0.378307075834	0.286709496509
è	0.0332319248145	0.0345196508051	0.117957711108	0.530274937945	0.28401580257
e	0.0121876819836	0.0273761180629	0.137978238956	0.610708522648	0.21174940299
t	0.0115329185308	0.0141459516984	0.139508616819	0.566797382216	0.268015084797
e	0.011545559589	0.00781592518347	0.0597166032263	0.508313989405	0.412607900932
</S>	0.00632675302746	0.00701631176334	0.0380070511732	0.465793987703	0.482855896466
