 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.663691222	0.1511153623	0.05114928629	0.0048898955784	0.00812992136054	0.006026961056	0.00480662515	0.0112902920645	0.00228093327453	0.00142936467953	0.00859656808018	0.0865935110468
n	0.415682744295	0.304059325167	0.123514794697	0.0320736366104	0.0149140155948	0.0148011976933	0.007686941172	0.0059741746125	0.00382632892547	0.00147830981353	0.00509943064197	0.0708890671536
è	0.172207132507	0.512084881456	0.181997229446	0.0404562662568	0.0165536526109	0.0188813313698	0.00724271400427	0.0088857296151	0.00404217864076	0.00155694086231	0.00352108073575	0.0325708843446
n	0.0915179183757	0.570655199152	0.225043844895	0.0346706384056	0.011179735035	0.0179190865199	0.00562788782602	0.0114734029366	0.00299516756952	0.00227116121797	0.00194102686016	0.024704958786
a	0.0518820104552	0.414625110917	0.370052463498	0.0996505115019	0.0114622076317	0.0160111884313	0.00484272755367	0.00810833801353	0.00223176693324	0.00193090692539	0.00119373532421	0.0180090778237
l	0.0215805863151	0.220156604972	0.392118265166	0.280552653801	0.0345960288499	0.0155570019838	0.00844756894856	0.00677208544918	0.00216475071881	0.0019752900518	0.00234281726918	0.013736396091
l	0.0209639556017	0.132703440457	0.276595198122	0.4091952666	0.0528051711733	0.0192999514479	0.0145897027162	0.0291559885196	0.0061148876496	0.00542436828127	0.00873880211755	0.0244132525078
i	0.0186215361246	0.0822819089657	0.269304514841	0.3774543435	0.103692173815	0.029016135136	0.0143887021054	0.0406306353751	0.0106333056365	0.00699555762909	0.022751402628	0.0242296972896
m	0.00825742119953	0.0396110397219	0.243383012814	0.3904484378	0.163030805772	0.0419751709987	0.0195236410218	0.0285529091654	0.0109854614588	0.00619465114503	0.0252674170115	0.0227699454508
o	0.00550270622991	0.0241133363893	0.175472037845	0.4183441878	0.212071341357	0.0667981360862	0.0238274392673	0.0230598482555	0.0086256222416	0.00640431944168	0.0141657262285	0.0216152856612
n	0.0040640038145	0.0127718443421	0.121429586798	0.416496164467	0.240946329119	0.105466943002	0.0264797703091	0.0253645048705	0.0081571305632	0.00729873267923	0.00996677081088	0.0215582963177
ì	0.0044054512615	0.00955479295103	0.087223008276	0.339263570522	0.303883064506	0.122048059174	0.0333106887364	0.0383361329688	0.0167534709284	0.00664690509174	0.0129426276488	0.0256323036326
s	0.00614808661081	0.00926283875928	0.0822332110653	0.259142746812	0.373217445502	0.108306710258	0.0307846889121	0.0386594517229	0.0226283351881	0.0196961548759	0.0169814222887	0.0329389881309
u	0.00486946967873	0.00684325144399	0.0582798283266	0.191870135885	0.419225490501	0.156409798953	0.0434888804374	0.0346750338743	0.018129297708	0.024034256204	0.0128336141401	0.0293410302396
m	0.00261251924316	0.00476904674813	0.0380748594246	0.155450719865	0.372446596667	0.228361199918	0.0853338355458	0.0386196072281	0.0216709975293	0.0124043443147	0.0154415999812	0.0248146666085
e	0.00197076030561	0.00419533260968	0.0270930814232	0.136009944289	0.277777699656	0.276108439573	0.153237815382	0.0481140477127	0.0247516478498	0.0090282706649	0.0167161812399	0.0249967184322
m	0.00174356363412	0.00363345943218	0.0186494751494	0.111332444066	0.220047346365	0.286184311858	0.207916313594	0.0605491037389	0.0317078399166	0.0078194835483	0.0202644084514	0.0301522483447
a	0.00167946200214	0.00357127705477	0.0146951351337	0.101903929474	0.148215007802	0.269917438886	0.261238423198	0.083764279281	0.0471060220055	0.0093995175761	0.0240229210737	0.0344865956456
i	0.000831624327692	0.00205083732493	0.00741108179607	0.0365135992827	0.117994386474	0.253124901962	0.294475620399	0.16453165536	0.0720059983352	0.0133813265787	0.0134351102665	0.0242438237252
t	0.000822376625566	0.00209476162976	0.00519608491421	0.0359469174968	0.0688972918047	0.192615411721	0.2888180558	0.240141019587	0.0917057711117	0.0209077803129	0.0124763510502	0.0403781324917
u	0.000965697368282	0.00211683042712	0.0051712876918	0.0363708008767	0.0439967435816	0.135641479974	0.27630326	0.242525335662	0.160658222371	0.0349351413043	0.0147979078281	0.0465172961812
s	0.00145445434961	0.00247882534631	0.00560441403671	0.0289446792004	0.0326259829705	0.0939636603447	0.251700170667	0.223629329354	0.220362233457	0.0503373565681	0.025147265214	0.0637517244311
t	0.00182815274174	0.00296438760084	0.00747293690994	0.0357889259732	0.0199838614468	0.0662094809082	0.219877016376	0.174062649518	0.192239537019	0.0580101853894	0.0899689305847	0.131594065157
a	0.00110394626107	0.00230005318401	0.00743471043616	0.0242869669976	0.0173691528653	0.0460851228481	0.176835763145	0.151211178173	0.22681090354	0.0771657677965	0.114779218995	0.154617337066
c	0.00155414940295	0.00218736322074	0.00570266659882	0.0188486637078	0.0149220202534	0.038577058668	0.164757003648	0.156136822258	0.27611045738	0.0988245482655	0.0855553756917	0.136823937878
i	0.00186823125198	0.0021700550913	0.00539977604707	0.0168730956987	0.0127555871749	0.0340754073073	0.175934613983	0.144560134219	0.26571521466	0.143094864022	0.0780632950572	0.119489676306
ù	0.00254178646181	0.0022633321273	0.00481083658828	0.00756254178902	0.00986581742418	0.0246198504003	0.131841627384	0.163538061113	0.251401344887	0.208478044741	0.109337633852	0.0837390431793
r	0.00308004791975	0.00251735414261	0.00393769987599	0.00466970099114	0.00784835188974	0.0198292395262	0.0686779905113	0.220717104978	0.210660065629	0.183712757247	0.190870494917	0.0834791652464
i	0.00168650131452	0.00185254924523	0.00358732945185	0.00380561391751	0.00588649887165	0.0122562219123	0.0420691372438	0.217710142379	0.162784294543	0.236865554749	0.194716258506	0.116779904669
a	0.000761820345398	0.00158421998533	0.00329751357801	0.0048728547645	0.00445607712366	0.00554440299603	0.0263425779506	0.143713013213	0.143838064181	0.378096521583	0.156099208635	0.131393737756
m	0.00121154492592	0.00244244835809	0.00417404546866	0.00880277425923	0.00805362234519	0.00631422399728	0.0367118803729	0.105785591838	0.155613522394	0.387709777994	0.158183399278	0.124997180305
a	0.00137084205842	0.00243954611476	0.00477385975174	0.00910496126244	0.0094138800496	0.00672260333909	0.0451031583056	0.07033831655	0.133459603131	0.416825416131	0.174678297519	0.125769480288
t	0.000700855161096	0.00164131276098	0.00333379695377	0.00856298412764	0.0044772121758	0.0031065821053	0.0261674379715	0.0297615233753	0.0712108183437	0.348248672844	0.317385794733	0.185402971556
e	0.000453427309396	0.00120099106271	0.00238930750012	0.00802632306219	0.00240164302167	0.00153891374957	0.0123926353254	0.0157024064664	0.0392077582812	0.252684302748	0.393407678444	0.270594576245
s	0.000461598058465	0.00105015245456	0.00223976093331	0.00768466830457	0.00174827411156	0.00104184450032	0.00778524044713	0.0110647540335	0.0252814110937	0.213966477249	0.393189119681	0.334486653762
m	0.00206843495569	0.00110222422248	0.00246724548765	0.00660238708611	0.00119715254435	0.00119367469131	0.00635308196704	0.0120403101782	0.0215727817112	0.13192107395	0.43683710776	0.376644497647
à	0.00360396456334	0.00205857506906	0.00400960891876	0.00537385917065	0.00486449464742	0.00320205198196	0.00724489437935	0.0251330014751	0.0254379589331	0.10072926209	0.44364113432	0.374701147662
n	0.0178623065625	0.00557530622769	0.00875785969322	0.00560511527948	0.00779804956013	0.00472314918953	0.00598832929898	0.0388456099184	0.022778900447	0.0798676337367	0.462016849307	0.340180892287
e	0.0219473976174	0.00646641629462	0.0121448597098	0.00686679206059	0.00820621219977	0.00388443663246	0.00458207639566	0.0479847990181	0.016934276353	0.0726386178722	0.370179672569	0.428164468762
</S>	0.0118058615628	0.0049100241598	0.011966518874	0.00937169964025	0.00920421295269	0.00319195181573	0.00404128672953	0.0512691297471	0.0146062550025	0.0682123911761	0.274517040484	0.536903630381
