 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
t	0.842095119	0.093324032874	0.0115710265	0.0067339362016	0.012452527322	0.0019665481208	0.0026162387312	0.00298649716097	0.0262540900374
ù	0.883731274333	0.0885422361073	0.00517483083133	0.002777171828	0.0053197462784	0.00115158541574	0.00142545810453	0.00121028977876	0.0106674623684
t	0.850712418111	0.0940350916024	0.00650752297111	0.0026998874324	0.00481442652507	0.00155991747885	0.00182376311918	0.000848740730748	0.0369982781486
t	0.780079226037	0.131346433854	0.0130148766997	0.00597855140347	0.00602452253089	0.00690969415182	0.00405916657873	0.00147381630682	0.0511137001465
o	0.647679879346	0.281481265338	0.0203301656799	0.00736359271382	0.0046093014283	0.00819307352466	0.00403806214413	0.00145997714345	0.0248446432054
t	0.403312213482	0.525735807113	0.0307439656266	0.00981880712461	0.0057087873741	0.00517923897787	0.0028701228986	0.00142364884013	0.0152073648226
r	0.286821088561	0.617867798971	0.0499745418489	0.0141154433249	0.00696389055337	0.00477795622529	0.00321159969353	0.00260372499431	0.0136639663589
a	0.257643141594	0.632620436257	0.0767116160896	0.0138888327983	0.00423905204112	0.00292544005363	0.00215683915451	0.00212895160726	0.0076857532315
v	0.138664769105	0.677464431486	0.10875119383	0.0142284171928	0.00489573434171	0.00468272580708	0.0024743950595	0.00247836674131	0.0463599937274
ù	0.0514412955777	0.747491794562	0.113789846077	0.0128579845309	0.00506565112324	0.00498454004623	0.00252104052863	0.00265500193224	0.0591928755711
d	0.0342807466286	0.716475983254	0.129547160626	0.0225214267636	0.00685200819708	0.00527377809594	0.00275733188968	0.00245676364588	0.079834877264
i	0.0285504348362	0.454351778285	0.353213464275	0.0539686429612	0.00937237583903	0.00635719141465	0.00354725372789	0.00265651769689	0.0879824379167
e	0.0109022398528	0.202177689362	0.583936279425	0.146697518787	0.013010452633	0.00418038827688	0.0035080294973	0.0014088469687	0.0341785797889
e	0.00399931696018	0.0725018396007	0.505018803142	0.347453854262	0.0409294887443	0.00430918404029	0.00681502217843	0.0009372985445	0.0180351619723
t	0.0030739290534	0.0378464276936	0.311555236314	0.465610161421	0.0890187521814	0.0167112695881	0.0223266087755	0.00841774168163	0.0454398484988
o	0.00319210830685	0.0254914521405	0.210690653771	0.475554903807	0.160475634994	0.0281638432494	0.0297473084718	0.0122180495539	0.0544660223863
n	0.0078608915828	0.0210536000135	0.143989745657	0.426061402869	0.217339987265	0.0632017399098	0.0395742512039	0.0205521956446	0.0603661925821
è	0.0091071456689	0.0268666579585	0.0898484284457	0.276676558623	0.325787112422	0.10067432477	0.0582932631346	0.0305818763415	0.0821646338474
g	0.00596502093094	0.0243815981595	0.0844391809752	0.198773191541	0.402077833474	0.116748184657	0.0546466953782	0.0272720548072	0.0856961971558
r	0.0105595260276	0.0292743346832	0.0729654336584	0.160547398447	0.312915473158	0.203555729352	0.0523963540927	0.0478755031424	0.109910200225
a	0.0124475665099	0.0236739919844	0.0442128413381	0.102149150269	0.245041893853	0.306377445784	0.0988600870642	0.0623194432875	0.104917469708
t	0.00786836124954	0.00929481512812	0.0221216515127	0.0693765099197	0.214662292684	0.392720095728	0.134820615221	0.0568652778625	0.0922702423587
s	0.00737498344042	0.00490769871936	0.0127293668322	0.0456285586832	0.136152822561	0.411267571709	0.109377274674	0.115270237821	0.157291424568
e	0.00716176044324	0.00272993455722	0.0100941728894	0.0316460261637	0.0888940048137	0.299030543903	0.162229433225	0.215672352607	0.182541743348
è	0.00315260662956	0.00163710682496	0.007008157675	0.0199562933872	0.0814902609646	0.220452297901	0.312634094275	0.245526381202	0.108142799516
n	0.00201224989142	0.00258905141368	0.00498250452071	0.0114027187561	0.0627030241482	0.255567298034	0.364746424092	0.228413066067	0.0675836537253
a	0.00192380543294	0.00267148239253	0.0035811767375	0.00866985767277	0.0392802733141	0.211327095031	0.417041115897	0.236380156356	0.0791249463284
p	0.00778007818779	0.0058780905335	0.00355910148554	0.00761402997192	0.0220460236547	0.13664327263	0.400777647232	0.293317658785	0.122384034513
o	0.0106324450228	0.00692728975652	0.00414903002962	0.00540622865391	0.0138989706089	0.102020926117	0.286132770544	0.421658965595	0.149173363242
è	0.00498454886657	0.00306294524185	0.003641296757	0.00516653628039	0.0114773773156	0.0610599821493	0.240400876515	0.531017456532	0.139188986547
t	0.00189069263565	0.00189286092058	0.00198784375262	0.00399142834208	0.0101756699626	0.0639775507244	0.183150167105	0.628075597511	0.104858276782
a	0.0010377144136	0.00114021932464	0.00187491070879	0.00171188219996	0.0049479701356	0.0441145816004	0.130324385835	0.576099995837	0.238748410261
</S>	0.000937704567108	0.000861395852943	0.00264298844729	0.00126564279068	0.0032954185548	0.0241521362322	0.109770831117	0.454125096919	0.402948779131
