 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.7228328191	0.1392529539	0.02546635048	0.007482584634	0.002874695974	0.0035435560932	0.00417607551214	0.00148782459442	0.0353770215249	0.0575061681493
n	0.440233650502	0.348271491567	0.0804970998	0.023438051836	0.00951146606867	0.00377958626053	0.00268063314754	0.00129293982842	0.0353307235452	0.0549643904174
ì	0.156234034622	0.659782039856	0.102189434253	0.0253000913187	0.0115195919762	0.00363190676938	0.00206181088858	0.000769883968807	0.0125737209449	0.0259374652902
c	0.0599681380137	0.758107617952	0.116438316004	0.0138144129329	0.0064298603314	0.00203224838733	0.00109165699326	0.000605543963669	0.00938461313445	0.0321275436853
h	0.0352966111006	0.734654940651	0.158615292201	0.0137304808743	0.00908975488213	0.00229418212174	0.000993373633473	0.000571974796336	0.00820171894276	0.0365516149558
a	0.0224247263909	0.54718566515	0.347147352934	0.0474832156014	0.0126334456397	0.00231102236888	0.00125744857454	0.000495387122145	0.00300332087013	0.0160584186043
d	0.011064251685	0.301697819583	0.544814814311	0.0950327534005	0.0221432813332	0.00560002164229	0.00258287293318	0.00312507781803	0.00525708008944	0.00868204190681
ò	0.0062751797906	0.249968014721	0.56792823677	0.111463348734	0.0366370593777	0.0075650527741	0.00296202589573	0.00405447904934	0.00631427253619	0.00683229659427
n	0.00476280142147	0.200008074034	0.603603198257	0.125588432911	0.0405243877792	0.0051171709047	0.00229879441791	0.00206050296178	0.00379395294991	0.0122426455108
t	0.00685849010162	0.177113082945	0.560530000752	0.151898569637	0.0454858154664	0.0159437623549	0.00727716599397	0.00378340213193	0.0113479992272	0.0197616409943
a	0.00586899503568	0.127757130066	0.385113272184	0.361492471879	0.0564027561555	0.0226632549383	0.00918987797799	0.00478401737431	0.0129680375904	0.0137601584756
t	0.00390374092212	0.049442650606	0.227386390661	0.513439838626	0.120834996919	0.0355464172661	0.0122215141327	0.00879540272844	0.00621908320237	0.0222100693869
a	0.00313389462459	0.0231911773006	0.133177833854	0.575752606875	0.162059365306	0.047843152022	0.0143873410176	0.0105478510675	0.00445599494285	0.0254509120789
s	0.00268864744638	0.0132506319685	0.0674251231847	0.560492457625	0.240911310769	0.0571106367407	0.0151028430392	0.0090618565025	0.00394075874435	0.0300157643362
ì	0.00242773112474	0.0160893302971	0.0367939210816	0.354845889075	0.45278408959	0.0668027243802	0.0150460499557	0.0077834425135	0.00969539078772	0.0377314186836
n	0.00236609665484	0.0145304991884	0.0258514013805	0.233259101958	0.593636257197	0.0569038741267	0.0106376711812	0.0041874720665	0.0115313836667	0.0470962764565
n	0.00336753813024	0.019753685741	0.0314242164602	0.178279847386	0.532901159066	0.0866064863089	0.0152964287357	0.00588852520017	0.0559421423581	0.0705399785242
e	0.00238389654242	0.0189160516039	0.0238254604201	0.139456612929	0.432260869689	0.212298347103	0.0326210927139	0.0119201804734	0.0723049750083	0.0540124521881
f	0.00272749098105	0.00963985237871	0.0133778424396	0.099064694243	0.454538199896	0.277967258634	0.0460942537246	0.0177047293111	0.0330965755011	0.045789005076
a	0.00277130362744	0.00654462104698	0.00986033089213	0.0682309814143	0.408567054965	0.357402954478	0.0616028240415	0.021100978037	0.0199447481586	0.0439741245653
ì	0.00118159044834	0.00270566382848	0.00460794781804	0.0428034819114	0.368134406122	0.439639484159	0.0783887552805	0.0206373935897	0.0194937087514	0.0224075675024
c	0.00278616028136	0.00273937148732	0.00337839777735	0.0340239760638	0.427863015707	0.368354168186	0.0602405565602	0.0168092820739	0.0424960693575	0.0413090115835
h	0.00342084298258	0.00278565479436	0.00355107275578	0.0365610251546	0.394031792102	0.389370998195	0.0469627770534	0.0134150385446	0.0453583264165	0.0645425147872
a	0.00148386563389	0.00147836765013	0.00250899478093	0.0224396792489	0.240844123701	0.472282278732	0.164872371418	0.0255342924015	0.0218857939195	0.0466703107797
a	0.000614157445102	0.00113679978607	0.00221295886599	0.00972310660163	0.101197749291	0.410335463577	0.354855532473	0.0630074890672	0.0308617669738	0.0260549710066
n	0.000467880473222	0.00174876108184	0.00239865209521	0.00607325743721	0.059411803401	0.327548804526	0.404900701358	0.0932234638224	0.0441049662686	0.0601216211419
o	0.000420049275646	0.00181551821715	0.00296378341587	0.00401936098507	0.043087616405	0.271259568509	0.395374816319	0.157836454674	0.0453683276362	0.077854402027
ì	0.000665624750028	0.00314710851598	0.00263075019502	0.00498888321569	0.0252247163863	0.183519606103	0.434502212506	0.204499781025	0.0840229506121	0.0567982826423
s	0.00128124861108	0.00392204310838	0.00174043669175	0.0055768050983	0.0297510363288	0.155440599968	0.405977033902	0.184735872808	0.126948169924	0.0846266559141
o	0.00107913319226	0.00213286996481	0.0021982439316	0.00319146562903	0.0271761932429	0.123143664496	0.298265049367	0.253328078669	0.180089774481	0.109395365738
n	0.000961482256364	0.0024162985991	0.00367955741556	0.0031425585095	0.0149577769776	0.0854243293387	0.201240693522	0.35366546029	0.209664365134	0.124847292999
t	0.000967022958496	0.00295750172956	0.00405515581628	0.00334415392312	0.0120229085745	0.0905431497129	0.148824621107	0.30074111263	0.246443144378	0.190101062412
a	0.000485180299877	0.00179408990457	0.00386263654669	0.00240562425892	0.0082628443515	0.070997102189	0.112739237636	0.253919516143	0.296505949459	0.249027730463
k	0.000887990875857	0.00250567048788	0.00403444188448	0.00242639458867	0.0061449245123	0.051683427336	0.0832460684653	0.292292435248	0.334135689153	0.22264297037
a	0.00112363687081	0.00334370512874	0.00485831008887	0.00231072197427	0.00753667688277	0.0423384981463	0.0696573153618	0.288891960849	0.376488083051	0.203451144672
v	0.0034321656639	0.00388423387791	0.00612005963707	0.00215857254095	0.00809860088441	0.0322337769879	0.0621474472206	0.249960585783	0.404454703684	0.227509882427
r	0.00474612260193	0.00390060743951	0.00628012656285	0.00218117736035	0.00722219524676	0.0270110206398	0.0503895829869	0.164817341461	0.432806692561	0.300645168715
è	0.00241637676594	0.00241202840426	0.00435122183113	0.00167702448725	0.00586260500025	0.0175074651786	0.038600908629	0.0844826091937	0.443340661587	0.399349136808
c	0.00305035303661	0.00548341027146	0.0020099547926	0.00284818106262	0.00388962307142	0.0163486330609	0.0617392178097	0.0554954905312	0.461699959262	0.387435171336
h	0.00516599128755	0.00702562044572	0.00219899188882	0.00637532740467	0.00459455328381	0.0263470217203	0.0832284906699	0.0482966197704	0.419731591487	0.397035807637
i	0.00507890989369	0.00432927224083	0.00420671149423	0.00662006327216	0.0075047119802	0.0262922743104	0.0584338726466	0.0489992851235	0.331763775496	0.506771144538
</S>	0.00453012479623	0.00372931201259	0.00563599480565	0.00468849029199	0.0092479281485	0.0204401579907	0.0375598699583	0.0501282136118	0.298158274648	0.565881627769
