 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.765152091	0.20123138367	0.007604081473	0.0040981923762	0.00196346504252	0.00306036665773	0.0168903464594
m	0.558932700733	0.329617802223	0.0474529472263	0.0102513586494	0.00505637489585	0.0045943999808	0.0440943570309
à	0.349795880911	0.503984169408	0.0695467775754	0.0122874564198	0.00575573794928	0.0051045054586	0.053525444716
k	0.26125520277	0.639283930469	0.0469591916918	0.00542765772927	0.00379301944509	0.002094587785	0.0411864213253
i	0.202623207357	0.670954120156	0.0765630217639	0.00941102188242	0.00316517288836	0.0011648377314	0.036118647238
n	0.141136335555	0.620732841385	0.171713771921	0.0271741064875	0.00784515790479	0.00272486560173	0.028673001194
a	0.087858311771	0.463417169795	0.35058154064	0.0543922700292	0.0107420318549	0.00476194134691	0.028246865026
t	0.0471271540727	0.303833765665	0.51805554588	0.0624766760297	0.027652331785	0.0116347366106	0.0292198881573
è	0.0284896361979	0.178004700955	0.64651305896	0.0675711353166	0.034170446375	0.0128215957175	0.0324294817878
l	0.0208048380406	0.106136227452	0.72357460832	0.0687106855255	0.0225973661117	0.00815082349117	0.0500254637913
i	0.0175343512835	0.0587941946347	0.58458333744	0.248738811575	0.0273270805372	0.00790609500106	0.0551161342991
s	0.0100359738151	0.0280491648156	0.48407806748	0.382735301192	0.0431769667791	0.00978289254435	0.0421416223537
t	0.0111452428689	0.0292427687519	0.418398346427	0.287615658464	0.0650269119597	0.102805870601	0.0857651642912
i	0.0081542276223	0.0228944621313	0.231525443142	0.429844641555	0.0752806620866	0.138492591974	0.0938079486564
a	0.0034266240997	0.0093093257971	0.103331340914	0.650949996518	0.125205200296	0.0592389661573	0.0485385525588
m	0.00354107900457	0.00781049875837	0.0540411275047	0.638545564839	0.161020245099	0.0419486682851	0.0930928393953
m	0.0111551798468	0.0116345951261	0.0541802960349	0.547690683613	0.124547939566	0.053980733695	0.19681063389
è	0.0244915767387	0.0174040942145	0.0573751482116	0.491956289204	0.155148384322	0.0534957845217	0.200128801592
n	0.0508811726743	0.0304082702801	0.0683311843372	0.405417514401	0.269002040507	0.0460531951306	0.129906712664
i	0.0474629337349	0.0272244251023	0.0577564717284	0.3009126814	0.350139221236	0.12559587851	0.0909084468547
a	0.0167685168214	0.0102825670618	0.0227221423335	0.196161605533	0.497033274412	0.184231932103	0.0727999792182
t	0.00665528026965	0.00452874092887	0.0112294310658	0.0965256493377	0.582887914804	0.198987054901	0.0991859145241
t	0.00393196203804	0.00303463710362	0.00726633869327	0.0570384260439	0.472100954601	0.298725500967	0.157902166629
o	0.00241451669625	0.00267597376327	0.00571851592829	0.0390533649593	0.326931543867	0.440150756989	0.183055386013
m	0.00186983700414	0.00250439489746	0.0046857285813	0.0235096455264	0.229715097822	0.530343061263	0.20737225777
e	0.00205242358686	0.00244348770336	0.00485691253121	0.0181880641468	0.163335301141	0.597031833354	0.212091917089
k	0.00199383250322	0.00262319749322	0.00474289859491	0.0143870310869	0.10198222372	0.653869599785	0.220401175426
k	0.00510627319648	0.00319011619314	0.00418393466604	0.0113213858523	0.0772910271133	0.618564019262	0.28034327626
à	0.0149349494666	0.00721860287655	0.00541614788557	0.0200673815656	0.0916072958378	0.508765489754	0.351990164475
n	0.0313394081463	0.0147298523938	0.00999416484002	0.0219433659856	0.126419843213	0.422741698585	0.372831670158
i	0.0290268142602	0.0132316182342	0.0111020670613	0.0155036678123	0.0977345865043	0.460339266195	0.373061968053
k	0.0146176407819	0.0105310857891	0.00652118019495	0.0101670853808	0.0456366713548	0.580983183398	0.331543181771
o	0.00921086726972	0.00928104470847	0.00475615674376	0.00667804776987	0.0260887589249	0.577024845399	0.366960316344
</S>	0.00614020171708	0.00555988091719	0.00438402834638	0.00690749675163	0.0159120480424	0.5020449361	0.459051392172
