 	sono	vestita	</S>
ì	0.828985365	0.094599748259	0.0764148035266
m	0.608170136333	0.261066788646	0.13076299439
e	0.421244269978	0.400119936215	0.178635789037
n	0.290423069899	0.499654498072	0.209922437304
d	0.12153365406	0.582985089357	0.295481246525
i	0.058287742912	0.562605149366	0.379107123774
m	0.0290337785867	0.596447728035	0.374518519857
è	0.0202998781042	0.606564451385	0.373135642885
n	0.0389957598914	0.555749849835	0.405254410162
i	0.0384511594545	0.393779612418	0.567769307254
</S>	0.0198538758753	0.244642862919	0.735503329627
