 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
e	0.70168694	0.10562762234	0.075123489024	0.0022249280998	0.00177701656956	0.0048452174133	0.00296992393137	0.00479335132434	0.0116730271439	0.0136390904537	0.0135593723768	0.00657621139367	0.0053528582413	0.00439328574602	0.0138099556216	0.00370282614108	0.00400071425946	0.0017872455667	0.00610268676507	0.0163541879745
M	0.692474728467	0.109750592553	0.0854882792867	0.0142868683231	0.0200439240826	0.00618230210463	0.00769368925177	0.00275898234014	0.00556679245277	0.00470869350744	0.00533501942033	0.00452273115647	0.0020080487915	0.00941410820769	0.00478260315781	0.00191896781308	0.00261688011613	0.000851134412923	0.0137566807207	0.00583897864455
a	0.582252493289	0.166667283184	0.0967429376649	0.0203037105682	0.0293425726528	0.00798183552128	0.0103033827321	0.00733029238791	0.00459527661999	0.00358491638684	0.00620124526748	0.00797224901916	0.00212228280027	0.0170519436222	0.00259640640861	0.00366859441567	0.00456286290111	0.00164777547221	0.0221177877037	0.00295416108786
r	0.518466956563	0.210250480168	0.118171607373	0.0173289126079	0.0205166123217	0.0153080979142	0.0092421981001	0.0161596207727	0.00372196736753	0.00439903270383	0.00818667866148	0.00941005059983	0.00251059446849	0.0153064043083	0.00214336346803	0.00528720259338	0.00469088723854	0.00200569777377	0.0144367700514	0.00245684862421
ì	0.502658690321	0.238399041163	0.135432332962	0.0151507454513	0.0153825312594	0.0172813043235	0.00812933973163	0.0153332846591	0.00291247858118	0.00397322924466	0.00697997319365	0.00643893215118	0.0017621554054	0.01064067098	0.00172885086954	0.0047368446141	0.00271049033308	0.00124729769198	0.00692555951035	0.00217621708374
a	0.377903693334	0.424623795454	0.117611033654	0.0128070485371	0.00680681445713	0.0078501083245	0.00364686052455	0.00706311638003	0.00192770435127	0.00320323329469	0.00582772329422	0.00700468108767	0.00269260115594	0.00612675141739	0.00213471376589	0.00389868509849	0.00181887664799	0.00130379968753	0.00344318131804	0.00230551028563
p	0.200614258965	0.482818247551	0.210558262218	0.0201129179324	0.00862276961904	0.0109759901548	0.00644318794086	0.00675605488701	0.00355944951663	0.00479679449403	0.00709175300107	0.00474563746017	0.00627319845565	0.00574439089585	0.00306148243001	0.00411311375008	0.00188922172642	0.00185246407277	0.00179310087014	0.00817763902383
e	0.101885197168	0.412757748157	0.351743243406	0.0361312321975	0.0141848705663	0.0181998540543	0.00827050065542	0.00670661590234	0.00461383176421	0.00556314843374	0.00627778718436	0.00322622588221	0.00593476763555	0.00524068220782	0.00273904742844	0.00333916030729	0.00148455343969	0.00147049929714	0.00105097391677	0.00918002856048
r	0.0521150079947	0.343546685459	0.428712261135	0.0522979054258	0.0187537657421	0.0223441260641	0.00701205872961	0.00847191436078	0.00468483377674	0.00895598071018	0.00932476201745	0.00314850118356	0.00317775581018	0.00623721106381	0.00675611293381	0.00425320758076	0.00156075375331	0.00105949512943	0.00142140112171	0.0161662265142
ò	0.0387348022502	0.287798846586	0.476996129712	0.0567536051019	0.0193440034874	0.019197105558	0.00559905415454	0.00908766194693	0.00415672132358	0.00957564437353	0.0137022414618	0.00365447442052	0.00347064568273	0.00880347573727	0.0079469095547	0.00888940662559	0.0026029836915	0.00170676068501	0.00283475217037	0.0191447428275
s	0.0676544691341	0.235144564129	0.479873965237	0.0548785407206	0.0258248557158	0.0134659977167	0.00583899311285	0.00796604312898	0.00609340776453	0.00741266110991	0.0171632657093	0.00760336727284	0.00478378630691	0.0147352908351	0.00665028536733	0.0167527447599	0.00523359933717	0.00236449554382	0.00407136607632	0.0164883060133
t	0.0786548003047	0.13820666793	0.385750728412	0.0539062198602	0.0569142527719	0.0151696361162	0.0203379456609	0.0155018023163	0.0157709305468	0.00950703144804	0.0588715772138	0.0169975232109	0.00955516163897	0.0283896650717	0.0118856679912	0.0321082166686	0.0123126567764	0.00592154367209	0.0105603237514	0.0236776851282
è	0.0384822364287	0.109184069897	0.377831757471	0.0897711625534	0.0792241108306	0.0179018386387	0.0230175908136	0.0147388876054	0.0156791698189	0.00715153356468	0.0677609424379	0.016600733477	0.0122581528997	0.0273810896772	0.0102733080891	0.0369459132435	0.0137067936001	0.00788974948476	0.0154625209669	0.0187384564666
i	0.018006785872	0.0867461748637	0.326901245424	0.276208380051	0.110413469117	0.0283826889462	0.0124555519312	0.00849637165513	0.00749730903663	0.00490509738023	0.0286167870413	0.00777693111811	0.0103159510076	0.0135999283124	0.00461725985137	0.0224470820752	0.00733503701243	0.00534975294519	0.0100948299649	0.0098333640394
à	0.00682430837836	0.0315504285326	0.169203525741	0.497363842017	0.129855160306	0.0430148158487	0.00913162276107	0.00628196049171	0.00480314796201	0.00456519554808	0.0204174790484	0.00989045769514	0.0102073453893	0.0079807930136	0.00317539504839	0.0146222816957	0.00458114819721	0.006540799563	0.0109287942162	0.00906146251243
r	0.00443937541588	0.0123583616775	0.088974693167	0.523043449006	0.185672212009	0.0467890971096	0.0100648443797	0.00517215422057	0.00466040030854	0.00342670627099	0.0188495766677	0.0108049013444	0.0086434124211	0.0081540226848	0.00251988067213	0.0141655564512	0.00426665791642	0.00656185040929	0.0128243602498	0.02860842241
t	0.00360674971883	0.00874995159117	0.0607086329757	0.350571045255	0.26686090771	0.0402857363299	0.0255412474019	0.00968630832352	0.0109005204012	0.00335893041796	0.0586447890348	0.0187924482917	0.00907637476597	0.0193082824324	0.00458192882378	0.0249935065391	0.0122768645008	0.00698689991966	0.0178995416326	0.0471693290533
