 	vengono	vestiti	</S>
è	0.742951732	0.0492444442402	0.207803720128
r	0.723214029333	0.105692860154	0.171093044445
k	0.560158322778	0.215787738278	0.224053940528
u	0.437522449099	0.335775715653	0.226701825043
t	0.35296623594	0.422932845111	0.224100927047
t	0.205862578713	0.488074729037	0.306062631121
e	0.142798050489	0.556513165679	0.300688708433
n	0.0980761241877	0.59082977756	0.311094048796
d	0.0436953513959	0.611273366853	0.345031195284
i	0.0254570003146	0.615009215618	0.359533768395
m	0.012454813706	0.662917002539	0.324628227152
è	0.0129558393938	0.665068871513	0.321975303404
n	0.0204639922332	0.630562548904	0.348973469135
a	0.014778926634	0.482335444368	0.502885630378
</S>	0.0079862642685	0.315979189684	0.676034529189
