 	ora	ho	finito	di	scrivere	</S>
à	0.921936686	0.00797819615	0.011102349464	0.004528599745	0.0116902300226	0.0427639820678
r	0.717151822333	0.06162291671	0.135981310821	0.014571465069	0.0100009238437	0.0606715820084
t	0.397205121511	0.156215658397	0.305898569034	0.0364327982737	0.0277148235943	0.0765330557461
e	0.199023342304	0.378328408666	0.291144717611	0.0406535938846	0.0331093317194	0.0577406443727
s	0.0942131036013	0.465587150555	0.297773174404	0.0534781340615	0.0170401673485	0.0719082600652
p	0.0521042213604	0.318506242492	0.386192380268	0.104707038461	0.0247953236028	0.113694752867
ì	0.0316941297975	0.286742322471	0.477728344223	0.0973327050337	0.0255429950133	0.0809594883166
c	0.0188218279432	0.274099459124	0.579334919408	0.0518036107846	0.0199717508661	0.0559684011555
c	0.0342263544411	0.198932181655	0.642638911803	0.0328843280482	0.0262090350954	0.0651091338156
e	0.036658605388	0.167146810798	0.592054178601	0.124567110936	0.0253332499491	0.0542399990343
t	0.0173674522657	0.125851794266	0.449003435934	0.220795240445	0.0972986332497	0.0896834045728
s	0.0119029481352	0.118340650555	0.329836752645	0.226466052615	0.144278830817	0.16917475231
a	0.00885359811931	0.124312407232	0.186440880882	0.419217239538	0.107628129403	0.153547806535
t	0.00572740415783	0.063953525104	0.118689467267	0.505484036513	0.145187459198	0.160958228003
s	0.0055730571895	0.0391469482147	0.117503480489	0.341762090171	0.212678405066	0.283336045446
e	0.00323051500378	0.0286832479782	0.0668775721963	0.353144146057	0.272057356715	0.276007073755
g	0.00428777652281	0.0151074116387	0.0372089570988	0.378859456686	0.335945072598	0.228591240816
r	0.00560276531694	0.0132473611256	0.0358754620996	0.255272028762	0.398802281533	0.291200049416
à	0.00360986363033	0.0110899829379	0.0257588419365	0.224929638454	0.490383355178	0.244228290518
t	0.00285024625438	0.00769725136197	0.0149089766382	0.195164885445	0.603398348393	0.175980301593
s	0.00653065907972	0.00903861150732	0.0121752731707	0.106678807375	0.566301347864	0.299275309778
i	0.00696752791155	0.00894746236077	0.0109607598618	0.0827677852363	0.409014237341	0.481342196953
</S>	0.00386681690023	0.00596385617789	0.0085827226953	0.0794244648852	0.34699132415	0.555170757477
