 	non	mangiare	la	sera	</S>
m	0.5381326455	0.1994996941	0.066441008865	0.038187215635	0.157739574606
i	0.361081716833	0.435333077367	0.0685661202717	0.0352497005337	0.0997694691483
f	0.202682255814	0.626455350456	0.0734180419572	0.0486561017666	0.0487882850321
a	0.0880866277873	0.666661702152	0.146610591919	0.0609214695489	0.0377196449474
i	0.0372938437958	0.544278060717	0.347540207706	0.046272905943	0.0246150158471
o	0.0161526045113	0.305933514726	0.527098812569	0.131690559848	0.0191245251264
v	0.0149326606404	0.157031103029	0.514485422856	0.276918358949	0.0366325057348
r	0.0141717756441	0.0912177465097	0.414866295619	0.32767683145	0.15206737309
à	0.0132806765067	0.0760272738166	0.29688833254	0.39879747275	0.215006239722
i	0.0125817001092	0.0597077700845	0.25393745898	0.520958117183	0.152814973231
</S>	0.008610778007	0.0355171115908	0.26517802269	0.564684907591	0.126009188001
