 	vogliono	girate	</S>
t	0.7022759902	0.08492710173	0.212796893455
è	0.795238810733	0.0721461415433	0.132615046972
l	0.797926462378	0.0743542107984	0.127719385192
u	0.709171712259	0.14075239407	0.150075950305
n	0.531128992193	0.322580061623	0.146290918524
e	0.302488878038	0.503099477208	0.194411545731
v	0.166531629366	0.624791767736	0.208676533739
o	0.073974462464	0.683370001912	0.242655537342
t	0.0531509113967	0.680370454637	0.266478661147
i	0.0374416486566	0.664602262212	0.297956134882
m	0.0225964349395	0.672967192737	0.304436428535
m	0.0192814246694	0.689504933579	0.291213703333
è	0.0207366248525	0.661501928526	0.317761494158
n	0.0348246059288	0.621458706842	0.343716717853
e	0.0349832407419	0.436128046414	0.528888713951
</S>	0.0193316863364	0.295265875407	0.685402412976
