 	sto	e	cucino	</S>
e	0.777378956	0.09399505281	0.0740404389355	0.0545856317552
s	0.697300538933	0.159778495923	0.0376806475658	0.105240388654
t	0.551073352911	0.194574464374	0.0902026800262	0.164149525483
è	0.385609568637	0.354637797191	0.122819806767	0.136932863097
c	0.216049092946	0.493488803064	0.162831294226	0.127630845886
e	0.116883435089	0.440621696355	0.270813816512	0.171681059082
m	0.0508709583163	0.385937656792	0.390928741666	0.172262644027
a	0.0534710472344	0.278242768071	0.477358407784	0.190927788542
r	0.0593573688373	0.199987660357	0.505605131395	0.235049820541
è	0.0389641298576	0.163860361026	0.540929674865	0.256245823207
o	0.0253746580099	0.0931865216967	0.563508828155	0.317930014869
</S>	0.0136834135385	0.0602790133204	0.573212911878	0.352824676134
