 	era	molto	stanco	</S>
ì	0.900502624	0.0227062213553	0.0165468742452	0.0602443524258
o	0.847655113533	0.104577274289	0.0170200007785	0.0307476556135
n	0.650648740044	0.256337647496	0.0236928587295	0.0693207794562
e	0.406039488348	0.450855203899	0.0316366424598	0.111468691817
p	0.193759835496	0.596329183966	0.0763329166866	0.133578122756
o	0.0789612300843	0.677724457322	0.123633238029	0.119681139642
d	0.0384030514604	0.675973517107	0.18568092001	0.0999425460053
d	0.0364421378801	0.535120018036	0.236861157023	0.191576673133
h	0.0396714765767	0.472539819412	0.246396459361	0.241392184727
ì	0.0214822748756	0.411016265537	0.407587719454	0.159913664392
s	0.0111476878919	0.301083203846	0.600129775818	0.0876392926107
t	0.00885601433063	0.246022050215	0.574826326806	0.170295589804
r	0.00779165041021	0.175650251005	0.524716732869	0.291841320775
à	0.0056245752754	0.093573022455	0.614616068023	0.286186319512
k	0.0032642417338	0.0735712444983	0.703138858674	0.220025653971
k	0.00728750808127	0.0723138147261	0.645518876758	0.274879745337
o	0.00760414009596	0.0388499463887	0.483572653853	0.469973185659
</S>	0.00414743460128	0.0226101199143	0.396336398527	0.57690597783
