 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.63338877214	0.1326616126	0.10007499037	0.006809736414	0.003412626697	0.005555682847	0.003379714184	0.00267893981311	0.00160108656671	0.00076976125408	0.00103765704512	0.00320017187135	0.105429240854
n	0.399782435263	0.2429780928	0.196885168377	0.0175021072007	0.0259789268303	0.005761761725	0.00447389808867	0.00199019864111	0.00158377711004	0.000832055548413	0.000703583595451	0.00183831829969	0.0996896897605
ì	0.14331488036	0.412135902493	0.326747410126	0.0215423810036	0.0329195172474	0.005894746997	0.00491214434489	0.0018038709321	0.00427484039628	0.0012254422866	0.000601957589884	0.00116979247337	0.0434571235332
c	0.0688026567427	0.490517260191	0.327077266709	0.0273013048312	0.0170386535311	0.00655461621833	0.0041971645633	0.0023482589895	0.00601815389989	0.00141389228282	0.000550426070428	0.0010062061326	0.0471741238069
h	0.0608581563076	0.47424042453	0.329264784903	0.0367338265704	0.0146371146884	0.00807113643544	0.00673128238917	0.00358054701677	0.0057157925681	0.00365971027549	0.00118327232981	0.0015375029322	0.053786398431
e	0.0422934911719	0.386540743577	0.358182432968	0.12675404439	0.0314216649715	0.00770610268981	0.00599737658146	0.00313509734146	0.00428580268443	0.00406015837043	0.00128864556017	0.00138042181879	0.0269539713433
n	0.0155313080315	0.238825048572	0.407858208323	0.246994512597	0.0457262525505	0.0103070875139	0.00516967402382	0.00241926882849	0.00431383642014	0.00242002600521	0.000691232321023	0.000858402999917	0.0188851452372
d	0.00953927521537	0.148682822171	0.397410963708	0.266812546666	0.0624684675168	0.0310673848926	0.0110156642546	0.0059813742715	0.00771284359691	0.0170574219349	0.00313196110107	0.0166014253696	0.0225179093982
i	0.00787939913386	0.093935492457	0.282170149203	0.367088734222	0.112458458412	0.0459048696615	0.0143477449662	0.00724338103317	0.00662593161908	0.0216565957257	0.00392058723125	0.0219838544088	0.0147848936624
s	0.00525548979095	0.0506262704497	0.259129503134	0.450350524741	0.130291552404	0.0392395139672	0.0142295056767	0.00924057762839	0.0056259037398	0.00968552623437	0.00206209844878	0.0083507472025	0.0159128152504
ò	0.00429372294612	0.0330111305846	0.247017488165	0.438652290247	0.139353982401	0.0355416023024	0.0443643367122	0.00986508466413	0.0116568401733	0.00824757729146	0.00248195995586	0.0043887025983	0.0211252755461
n	0.00388555830465	0.0247858039682	0.209352527015	0.465049332749	0.158481103267	0.0323451146341	0.0558533039441	0.00528713482538	0.0125329715418	0.00760242063115	0.00259724017982	0.00350257643357	0.018724970508
t	0.00473895604439	0.0227893260587	0.186970134412	0.454591521583	0.153003967156	0.031237191678	0.0706983621347	0.00538155815246	0.0103052353113	0.00923782407772	0.00541357474701	0.0118351191832	0.0337972949707
a	0.00330675546252	0.0158171881435	0.100400533798	0.341411480128	0.276547612652	0.101118599226	0.0829997093782	0.00725062274415	0.0079643788411	0.00841641681391	0.00620650969247	0.0140104592795	0.0345497659409
o	0.00120445575667	0.00591009419917	0.0350767126273	0.183091992469	0.396218588217	0.280675052075	0.0514636659927	0.0157953579614	0.0043721351777	0.0034944413433	0.00258850832587	0.00517797586101	0.0149310336716
a	0.00045992184765	0.00233172096752	0.0121194282478	0.079713929903	0.340458789206	0.452133409358	0.0420897999976	0.0482035616071	0.00806450486123	0.0021265840451	0.00131752645264	0.0021453111115	0.0088354732452
d	0.000580492016847	0.00313038344164	0.0151674621837	0.0527801744877	0.258427195335	0.459749975786	0.0956134949992	0.0592341492024	0.0228007154757	0.00834004834837	0.00208959195598	0.00468913665897	0.0173970920144
e	0.000626531394076	0.00340908866568	0.0161831092528	0.0466096602039	0.189120290912	0.457678405262	0.162136721333	0.0549125690008	0.0269480469452	0.0118573467055	0.00293303285799	0.00688140174699	0.0207037117168
r	0.000868632147656	0.00339111618393	0.0105209880638	0.028597683716	0.122585387737	0.416489396421	0.248481392444	0.0688246441336	0.0422388259017	0.0164939884045	0.00419078407933	0.00933909391633	0.0279780658283
f	0.00134205899406	0.00525556991562	0.0113514223899	0.0348620140453	0.0995112331457	0.271085761074	0.283481426881	0.0623539131112	0.0727801352206	0.0312543774015	0.0176930070331	0.0391621711321	0.0698669749914
ò	0.00134306487775	0.00450659085224	0.00704330438474	0.0322731049978	0.0783749164486	0.164932410491	0.328143117694	0.0546011290637	0.138140765594	0.0482038018005	0.0266855755744	0.0469288692354	0.0688234287698
m	0.00289992251996	0.00433356264115	0.00515940015528	0.0198246792153	0.0421809363495	0.137673753497	0.415789503231	0.0649497108946	0.155129871998	0.0625916631268	0.0184166867835	0.0288505094985	0.0421998852766
m	0.00949906566124	0.00965762936242	0.0122060576087	0.0313456380384	0.0553411433832	0.128393507632	0.41077274941	0.0526208254115	0.097741706466	0.0626743859356	0.0160928707032	0.0271814600948	0.0864730155162
u	0.00977861414348	0.00950975339962	0.0122638911902	0.0303776963071	0.0539568463344	0.107588240411	0.324769675737	0.130947883204	0.105346277555	0.0670561924119	0.0230433748477	0.0261840240983	0.0991775152894
o	0.00337729527771	0.00352493059197	0.00449779074915	0.01314471822	0.0259772626741	0.104792288204	0.197789584112	0.287421669068	0.162532189718	0.0989747365373	0.0238497384892	0.0204071427361	0.0537106014098
n	0.001390871137	0.00168255734719	0.00259519612416	0.00575517564238	0.015744158314	0.0664818791347	0.132678366037	0.274383887489	0.270812238173	0.141434607379	0.0190036898364	0.0207449924754	0.0472923400386
ì	0.000780824561174	0.00101804807412	0.00180317396612	0.00290551003819	0.00960776202067	0.0331745462209	0.142460605946	0.146601452356	0.408980014724	0.167535156993	0.0225895192788	0.0201742092918	0.0423691485662
c	0.00100724714657	0.00116255704575	0.00108947095503	0.0019197539544	0.00693507568289	0.0218485304496	0.150893931849	0.106878648045	0.429560757575	0.182357672331	0.0320327798063	0.0320468669639	0.0322667271025
h	0.00202035659884	0.00216050054814	0.0017237234806	0.0035040677414	0.00914539352763	0.0226186350165	0.12697835575	0.105288557682	0.369344676525	0.200068518777	0.0495594771821	0.0645097120813	0.0430779910659
a	0.00177956981017	0.00195684712464	0.00174707790767	0.00486878376627	0.00757819891254	0.0192325984475	0.0838662977567	0.082908787274	0.291038920775	0.292717798259	0.102870351994	0.0584187216471	0.0510159871846
p	0.00419629431275	0.00214519129396	0.00193871243713	0.00526915126379	0.00791329872378	0.0178800983725	0.0416380207302	0.0668616744047	0.221954472658	0.371063408753	0.130729973331	0.0588156767024	0.0695940755595
à	0.00510639993219	0.0021884463781	0.00190516522958	0.00391944689157	0.00915871644779	0.0212021810458	0.0312916960481	0.0428526430102	0.228640102019	0.374915658918	0.119307727644	0.0776697822341	0.0818420799512
r	0.0069134308818	0.00311846939595	0.00181598960591	0.00293116691772	0.006204302604	0.0165483016996	0.0283944827427	0.0292385006654	0.206801418473	0.407410652973	0.123460187148	0.0943106691447	0.0728523909571
o	0.00738615644995	0.00335504078704	0.00176179694085	0.00292532970697	0.00388577025467	0.00855558141587	0.0188243259712	0.0262832642151	0.117993989451	0.346957458524	0.196465475116	0.154588501715	0.111017269359
n	0.00409348262358	0.00225576786094	0.00204348274709	0.00345537040265	0.00372629886905	0.00638219872489	0.00948895293147	0.021886605105	0.0800078391103	0.281795588575	0.237999816372	0.188328976572	0.158535639936
t	0.00312557074023	0.00214945065314	0.00271793918271	0.00406631133149	0.00403534588764	0.0052333897159	0.00726551002529	0.027937448315	0.0831976055701	0.267432405592	0.187216536124	0.211506680591	0.194115887401
a	0.00124434978398	0.00115580662124	0.00176635507583	0.00298093830461	0.0021372215217	0.00311732819659	0.00517179498163	0.0285169752797	0.05714685383	0.181084182197	0.194912163375	0.304840189264	0.215925893139
m	0.00202029243326	0.000985999596127	0.00115631100369	0.00214965256336	0.00259697027102	0.00345598469516	0.00400554606908	0.0192837675572	0.05556188785	0.156710523199	0.204022580325	0.339306109755	0.208744385442
a	0.00229004125039	0.00110465663004	0.00104984914919	0.00265308851083	0.00271399158346	0.00345456798659	0.00435434982209	0.0149293899011	0.0532338639107	0.139455296266	0.194198093308	0.380549884585	0.200012938676
m	0.0030598176727	0.00105014873583	0.000969812143703	0.00325050157958	0.00239995375187	0.00279252852326	0.00391466123616	0.0101114803528	0.0395628442509	0.119466847755	0.175866656436	0.434156977528	0.203397789346
è	0.00348271301522	0.00105928111624	0.000875617787908	0.00210386261442	0.00218827309987	0.00327647786159	0.00386019982845	0.0063176761994	0.0445986457836	0.128995921318	0.138066819345	0.447635098509	0.217539540369
n	0.00638871970035	0.0018162869942	0.00127641164362	0.00187035982248	0.00127269637825	0.0030770498948	0.0045713133595	0.00493637290167	0.0352658949079	0.112078748773	0.128261566315	0.493776040836	0.20540865019
a	0.00717136926617	0.00187420989219	0.00132743395157	0.00241476201613	0.00110786072161	0.00232330925395	0.00361330403599	0.00426068898889	0.0167352897456	0.0772854864443	0.115078723545	0.505783574279	0.26102397913
</S>	0.00363748217506	0.00107049461752	0.000850446312908	0.00233901614754	0.000868487913192	0.00206627292304	0.00269959378819	0.00317385437714	0.0088683346372	0.0430822964021	0.103616752933	0.498941069139	0.328785862565
