 	il	muro	vuole	uno	specchio	</S>
o	0.813966629	0.1511261377	0.012999324715	0.0017504889236	0.00377314380305	0.0163843165389
t	0.538442437133	0.342072415927	0.027333421755	0.00616836227627	0.0615938220329	0.024389562656
ì	0.221000193711	0.635118796002	0.0309657644317	0.00787790072876	0.0806437856896	0.0243935911041
c	0.128507358504	0.758220171334	0.0606944379439	0.00523454641892	0.0282380293695	0.0191055015394
h	0.150885189968	0.665754745111	0.130442261355	0.00477704622357	0.0221546277565	0.0259861844785
o	0.126360412489	0.448635492304	0.353238980092	0.0188666419925	0.0254513315166	0.0274471532322
t	0.055294566915	0.236196867648	0.506990828611	0.0538586092308	0.0821520112942	0.0655070419397
è	0.023779390251	0.159676648216	0.552782034117	0.0637028164969	0.105103873831	0.0949551434822
l	0.0177921193717	0.108765057159	0.672492836039	0.052094153459	0.0620456421037	0.0868101147274
i	0.0177426509192	0.0506429465997	0.576240093346	0.193101643713	0.0728581044612	0.0894145091425
n	0.0121321485872	0.0216713312712	0.360125265115	0.396211299771	0.0840087720871	0.125851186333
a	0.00874169190195	0.0113235861273	0.198838563105	0.537412962457	0.100028255362	0.143654990503
n	0.00719975333854	0.00763553585557	0.0896551025017	0.594221807086	0.153261074121	0.148026789228
g	0.00784650908667	0.0120768302195	0.0955681659006	0.514536225429	0.14323714466	0.226735167559
h	0.0203493879582	0.0207895670065	0.164484677634	0.390986300143	0.109370223107	0.294019897113
i	0.0301418557521	0.017848768797	0.138005990241	0.382195920914	0.188801912569	0.243005602235
a	0.0184737122768	0.00656750362142	0.0533714422763	0.416010151438	0.328978105656	0.176599093478
l	0.00685837136759	0.00314227508445	0.0192628934314	0.333342420746	0.461786107352	0.175607923439
ì	0.00297360875063	0.00224203131121	0.0210626198575	0.200449277602	0.467602520717	0.305669967693
</S>	0.00161259044453	0.00194748860563	0.0317388427403	0.125581951131	0.408699374058	0.430419812846
