 	dei	genitori	</S>
à	0.926923341	0.02912713063	0.0439495922003
t	0.855101434333	0.064772617218	0.0801260123608
t	0.697008168778	0.129157374301	0.173834564982
u	0.497538180259	0.294412333167	0.208049575989
s	0.31616517562	0.472459887722	0.211374982963
g	0.26686843874	0.515093223907	0.218038321023
e	0.196753748867	0.570196832636	0.233049334743
n	0.079930351329	0.667643592212	0.25242601924
i	0.0384324985697	0.741758612071	0.219808885206
t	0.0448644128086	0.783664247357	0.171471365449
ò	0.0457700404842	0.764393397119	0.18983658673
r	0.0254020518107	0.712132475706	0.262465498243
u	0.0159704020796	0.524168053835	0.459861591681
</S>	0.0085309517338	0.359456551817	0.632012518841
