 	l	ho	sentito	quando	veniva	</S>
t	0.887281494	0.039659293558	0.001563175152	0.010459702	0.040162299974	0.0208740083306
o	0.785211202133	0.148779522539	0.0216724271313	0.01084283242	0.022816856524	0.0106771388095
n	0.515903076444	0.289102640913	0.0593436963838	0.07303816702	0.015080814184	0.0475315900935
ì	0.245287054815	0.450589527038	0.0885595714013	0.105522116935	0.0316326321993	0.0784090616182
k	0.193351338472	0.524734656346	0.101836719094	0.0942427986403	0.0344526465244	0.0513818170727
u	0.182942879504	0.411375684449	0.173681261011	0.136096794347	0.0635730597615	0.0323303193109
s	0.091485469786	0.26334666775	0.29580450227	0.223763110782	0.0774281472438	0.0481720352487
a	0.056530483134	0.13494636401	0.30944923129	0.360210948927	0.0746231830979	0.0642397232746
m	0.0392637449539	0.06625066847	0.201987575523	0.520480838976	0.0844367033593	0.0875804830415
ò	0.0249464436745	0.0292943341833	0.0999165847677	0.636158506325	0.115826943486	0.0938571892972
t	0.0185669291911	0.0220963838161	0.0565128159692	0.684730797442	0.146028250762	0.0720648676524
t	0.018229478462	0.017811671807	0.0366282806364	0.671810425147	0.169344905321	0.0861753065708
e	0.0232192726769	0.00893131247313	0.0194164644633	0.453275105349	0.37428698724	0.120870840457
è	0.021909169984	0.00398793929945	0.00812987718187	0.187321425523	0.670970473747	0.107681094012
r	0.00800135290543	0.00319587313804	0.00681969293792	0.110491305814	0.797523867916	0.0739678926737
k	0.00658181263012	0.00458328505997	0.0103439685137	0.131570225005	0.733732953305	0.113187804101
a	0.0337285512935	0.00399522695566	0.00878547567833	0.107019851039	0.652239753102	0.194231207967
t	0.0512021112291	0.00384627541724	0.00784114233521	0.052065604517	0.598726073501	0.286318822116
o	0.0420958209465	0.00365593744871	0.00659147885794	0.0254653642297	0.461934023434	0.460257467499
</S>	0.0410683982074	0.00204404282428	0.00375017604527	0.0154593282008	0.356842939417	0.580835241749
