 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.686500041	0.2782552301	0.01425979	0.00500790670592	0.00142365974539	0.00184464025579	0.012708793409
k	0.459412435	0.4305875621	0.0670327995067	0.0124280904899	0.00521906591652	0.00271836580953	0.0226017125175
r	0.343896246867	0.4952463021	0.0893866861356	0.020447071256	0.00971268937037	0.00715391747868	0.0341570566754
a	0.261483232889	0.6146207807	0.0667809169919	0.017046514976	0.00771689653206	0.00977170991888	0.022579949458
s	0.153829273963	0.6703125969	0.0778078295906	0.02544184063	0.0115900113411	0.00905150647278	0.0519670048447
ì	0.100416370074	0.642853652967	0.0942064156569	0.06083700491	0.019851173947	0.00760844050426	0.0742270175929
k	0.096708394778	0.621159380322	0.112415054419	0.0900845980633	0.0171534046957	0.00646556928142	0.0560136425976
a	0.0811153383293	0.445206380574	0.31851723474	0.0969271050811	0.0122360317919	0.00706037876981	0.0389375040659
l	0.0412293439178	0.228711945991	0.45430461438	0.149350497827	0.0482292875573	0.0198772166593	0.0582971050166
ò	0.0254551078373	0.12406459253	0.373566301593	0.264980820609	0.0914043454524	0.0288801060751	0.0916487845735
e	0.0115046687039	0.0583210099133	0.358051147864	0.38620375287	0.102575238097	0.020153500757	0.0631906681978
n	0.00580963080965	0.0254388858011	0.283087408641	0.42361855429	0.138422503712	0.0288542935957	0.0947687020806
a	0.00475849279028	0.015230365907	0.17049140032	0.407354694763	0.249885187571	0.0428112802186	0.109468615348
è	0.00313888898221	0.007882684393	0.104743579582	0.481180378921	0.311581311857	0.0410396382262	0.0504335890273
n	0.00354701861512	0.006156918333	0.0557923411493	0.514218044974	0.298595563952	0.0497786272754	0.0719115499838
e	0.00476484653252	0.0063440280508	0.0338862181078	0.347565464105	0.386562266651	0.137208192518	0.0836690345979
a	0.00303748030985	0.00386358383647	0.0202558859959	0.159547151962	0.55389596555	0.213233475799	0.0461664824526
n	0.00153312250461	0.00270612206056	0.00848401461063	0.081182711864	0.57426109585	0.271010199666	0.0608227154775
v	0.0169935218911	0.00544997127152	0.0167784148535	0.0504280382313	0.389750876883	0.341135742555	0.179463350402
e	0.0238179108329	0.00688094449917	0.0200062401905	0.0310188955464	0.229500153961	0.414160352852	0.274615437237
k	0.0189683781752	0.00696064064052	0.0115869012182	0.0185671365181	0.182314928587	0.531441497617	0.230160554712
k	0.0335764148549	0.0182863357402	0.0134989930414	0.013323346746	0.138029296929	0.523273352539	0.260012309045
i	0.0365037812174	0.0215777349897	0.0115589692598	0.009700380146	0.081909762243	0.52212822218	0.316621168256
à	0.0193073702448	0.0102226673257	0.0050424484686	0.00639221235533	0.106089989781	0.59281039806	0.260134908352
t	0.00814982896646	0.00507238826332	0.00357294808088	0.00772137121378	0.168416767247	0.61142755402	0.195639114784
o	0.00547208569956	0.0035488065339	0.00367081068077	0.00678604055726	0.128494998489	0.57236063734	0.279666576261
</S>	0.00452299729227	0.00257579856401	0.00297201095808	0.00415609871863	0.0695305113245	0.52313586867	0.39310667213
