 	non	aveva	cosa	a	fare	</S>
e	0.7113241915	0.09841404715	0.016910404804	0.0096799198545	0.0489845187865	0.114686930876
n	0.47851656643	0.268260528283	0.068107586708	0.0365164582972	0.0282699508666	0.12032887838
ì	0.178446290167	0.592092866028	0.0921011234693	0.0441256659324	0.0208363545329	0.0723976844332
c	0.0688438770823	0.742989054676	0.0980200803564	0.0247805519601	0.0221511929723	0.0432152685984
h	0.0329771733581	0.746428905559	0.134243678485	0.0227203134294	0.0271312613561	0.0364986895486
e	0.0156224365094	0.526850753306	0.347921058828	0.0580635372631	0.0172848414734	0.034257364684
t	0.0181149528198	0.194077450555	0.573025527609	0.119120998421	0.0215406302198	0.074120421952
i	0.0198791431887	0.0724463099443	0.433199067536	0.337514073474	0.0500861307419	0.0868752951413
k	0.00992264891437	0.0376005640141	0.239537387245	0.503229437825	0.130535055198	0.0791749503878
à	0.00684577249558	0.0304423478931	0.154078703902	0.392121519275	0.280454456743	0.136057228203
m	0.0216352082406	0.0265551138081	0.114715417561	0.289405138292	0.414922212621	0.132766898301
i	0.0246769096541	0.0194542276792	0.0836272170677	0.193258932564	0.394627965247	0.284354750334
</S>	0.0129075204709	0.0101218671114	0.0444108315949	0.117311363182	0.329221328624	0.486027118167
