 	deve	essere	bianco	</S>
è	0.8679916	0.08293403782	0.024735608053	0.0243388277657
n	0.736584376	0.180474437473	0.050485506211	0.0324557073861
a	0.523823697333	0.389516716158	0.0565213704037	0.0301382222754
è	0.302607796578	0.626059355386	0.0569613694679	0.0143714873318
n	0.143564053059	0.685404552462	0.129745149089	0.0412861927286
e	0.074908587213	0.651909409154	0.215647346363	0.0575346068542
à	0.0401412435403	0.459525911385	0.465079160121	0.0352536829647
s	0.0156529374541	0.187964760962	0.705147314707	0.0912349971096
p	0.00781114593363	0.0777364813227	0.624053648436	0.290398782298
r	0.0207998854355	0.0792845111096	0.518468748345	0.381446945519
o	0.0245472284124	0.0765510808765	0.457748130115	0.44115359264
</S>	0.013413557197	0.0443824359483	0.398167853058	0.54403612632
