 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a	0.6713780123	0.14636482762	0.0565612272	0.0168256778534	0.0028962979855	0.0034990160667	0.0031890755411	0.0026606039147	0.0966252390384
n	0.383493730109	0.209321358007	0.238824832067	0.0481377074881	0.0178338534995	0.0064260303667	0.00339908738043	0.0030292896311	0.0895341495132
è	0.150462390869	0.268829429402	0.398683204422	0.0965492368387	0.0229192392498	0.00665493180823	0.00378259762301	0.00249896279317	0.0496200498381
r	0.0831621024595	0.332644236334	0.386341729207	0.123568550422	0.0116259568866	0.00750920286008	0.00820164154787	0.00235079425986	0.0445957869752
k	0.0719797512978	0.322486060311	0.346940384402	0.161445424874	0.0086413370022	0.00936251694203	0.00966063594996	0.00495400379835	0.0645298979295
e	0.0531021668629	0.27334570537	0.395447489467	0.183584887425	0.0137305217674	0.00830501230268	0.00649229521065	0.00521621259232	0.0607757451711
s	0.0273412986272	0.188750613123	0.448953931822	0.202666434342	0.0484167768291	0.0335657510476	0.0132879276482	0.00328909777897	0.0337282347864
e	0.0189116912691	0.122550162788	0.456532963941	0.218139972447	0.100954183076	0.0421816989892	0.0149431010994	0.00279478036726	0.0229915092596
k	0.00928607431783	0.0781637369493	0.43530628418	0.256143543349	0.160214164492	0.0342933133031	0.0083569528798	0.00473937144335	0.0134965997848
u	0.00542192094054	0.0419876517031	0.342587057593	0.310489859783	0.226715529697	0.047520548561	0.00790239825993	0.00601320643845	0.0113618866272
à	0.00470015930078	0.0273207024984	0.240965208784	0.373981838594	0.237696017899	0.0838245975137	0.0147387929866	0.00555930145704	0.0112134554757
i	0.00339481392286	0.0163827553261	0.12551213843	0.341395516445	0.309662482633	0.160399398971	0.0247377790755	0.00609213951524	0.0124229780719
s	0.00211993704254	0.0098979724287	0.0588888800409	0.201021409662	0.363287848878	0.28061333699	0.0320426444252	0.0149953287277	0.0371325665426
à	0.0016714634003	0.0053532697409	0.029030520703	0.175079859287	0.245326738293	0.409772268997	0.0607534009417	0.0195933804452	0.0534189861529
m	0.0033641028831	0.00452602797863	0.0295524883937	0.229024756122	0.157234406498	0.443229108332	0.0675440869806	0.0213094691723	0.0442154992023
b	0.00583454260836	0.00872890733054	0.0453541229839	0.259347168267	0.135019401699	0.347571389044	0.0446762919269	0.0684345903253	0.0850335795494
a	0.00455237749143	0.00948329331903	0.0391358658002	0.180869227389	0.111555170706	0.285281716615	0.149211991176	0.104195996108	0.115714300547
s	0.00711873103135	0.0099794392517	0.0232600153229	0.0722843153772	0.101005894662	0.312995733538	0.225212269925	0.130211888863	0.11793162567
u	0.00774393836367	0.0105493056973	0.0168194489736	0.032852191399	0.0743402263473	0.271322915473	0.275273064175	0.197135788154	0.113963063311
v	0.00487557531493	0.00670496366028	0.0104205382829	0.0203025469142	0.0413167937311	0.216195354118	0.328778673392	0.266006824051	0.105398691489
o	0.00407467555454	0.00540110800773	0.0087653550446	0.0160892167568	0.0248027413444	0.165543131846	0.326869711797	0.343625778684	0.104828232348
r	0.00650137487329	0.00833127296458	0.0131156148232	0.0140285092242	0.0175984895468	0.106711039955	0.296711014286	0.387016783561	0.149985918405
à	0.00720706676008	0.00789617428222	0.0135651712118	0.0120084170247	0.0147894399043	0.083151587985	0.214556216382	0.360063569187	0.286762400624
z	0.00559848703931	0.00556545344381	0.00926856191631	0.0103507751482	0.0114134996301	0.0647831893283	0.204994496994	0.373302301062	0.314723225875
o	0.00489999998212	0.00463763850379	0.00677827247288	0.00826198480693	0.00878341758577	0.0426748431834	0.168874358931	0.470792679687	0.284296759292
o	0.00173396635551	0.00342171418666	0.0042800946547	0.00547418082294	0.00357402744766	0.0189722588351	0.103085906977	0.507789245429	0.351668540431
t	0.000835413899513	0.00327253404867	0.00554737014866	0.00647132690121	0.00296877354989	0.0234053283117	0.091260029859	0.50804145201	0.358197749277
s	0.000807701350912	0.00228403013923	0.0129751607379	0.015028397947	0.0060913315455	0.0280015830699	0.078280854013	0.574381249337	0.282149710092
o	0.000606303540565	0.00230702013295	0.0135233082222	0.0162259682624	0.00616818413643	0.0187696408933	0.057596112931	0.552787487512	0.332015965231
m	0.00160408758042	0.00202196279778	0.00595201655892	0.00736207942504	0.00271238385368	0.0103769915567	0.0495486664837	0.563638106237	0.35678366667
ì	0.00296063604119	0.00238442418277	0.00452868134598	0.00472422190763	0.00186594318129	0.00718388679783	0.0392285905012	0.540316110746	0.396807459817
</S>	0.00305779215558	0.00328627355566	0.00498497925432	0.00473802904424	0.00188188612805	0.00629505148491	0.0332943496006	0.440366007373	0.502095579908
