 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.8178112224	0.0649271821	0.01439920756	0.0024926500909	0.0029780614485	0.00211315258809	0.00128747180711	0.0939910619309
n	0.5767869924	0.2336151139	0.0449204207427	0.00459071458423	0.00452776847717	0.00299720191342	0.00372755627511	0.128834231843
k	0.323427019933	0.473889234633	0.0744060979869	0.0133371484814	0.00897325089706	0.00412438991281	0.0064822615853	0.0953606201488
ò	0.187149670978	0.612820568211	0.085931218399	0.0222057442271	0.0107182879044	0.00590533558594	0.00746207686203	0.0678071374641
r	0.164571257259	0.600823899804	0.127387813246	0.0216405168757	0.00926555018613	0.016867450922	0.00679713333468	0.052646348728
a	0.147644276558	0.553279066335	0.220010806749	0.0241409454652	0.00945803494004	0.0179055404613	0.00452760952362	0.0230336566574
s	0.0653586992033	0.537888170778	0.27518814885	0.0467549235284	0.010668966656	0.0151259226344	0.0052722041926	0.0437428727855
t	0.0424246084798	0.496280268259	0.224605912417	0.0797123753761	0.01917460465	0.0382967571315	0.0122823549109	0.0872230214982
e	0.0296909306535	0.407813514686	0.314752660006	0.103419919925	0.0232527849987	0.0390053390652	0.0128976674858	0.0691671188823
m	0.0228813797231	0.275974043562	0.462789168002	0.144813921775	0.0177466715596	0.0176280281297	0.0194664022061	0.038700335619
a	0.0191923926458	0.188402134194	0.478817712667	0.223124915925	0.0255186389799	0.0133843966899	0.0221880125764	0.029371724683
r	0.0205208770601	0.131512680838	0.407081280556	0.302185884642	0.0373495651666	0.0352505607766	0.0264394835578	0.039659634611
è	0.0210745657968	0.0869137474793	0.326807325852	0.345435368881	0.0593629146289	0.0755334362589	0.0374022156259	0.047470447397
o	0.0139270499922	0.0470805557164	0.266205411951	0.371312036294	0.148580245076	0.0952758032196	0.029412207604	0.0282066495723
c	0.0254064577703	0.0222830969754	0.18027433705	0.399138026098	0.156179502492	0.107974120673	0.0478537930967	0.0608906505914
e	0.0243244971701	0.014202085442	0.109992459383	0.371739105766	0.212105882297	0.130771214158	0.0605658843656	0.0762988866778
e	0.0135877692796	0.0083948287664	0.051677442781	0.244281946255	0.355944819832	0.218499771319	0.0598978610699	0.0477155607526
n	0.0117992748682	0.00713693835633	0.0249657392937	0.131020529018	0.279064576144	0.349799093773	0.131900359838	0.0643134650575
ì	0.00662869561239	0.00655213801809	0.0175325691512	0.084574372806	0.147537309181	0.467162471924	0.192721128546	0.0772912487125
n	0.00913357941852	0.0100779289283	0.0204728714677	0.0618298067753	0.110809643614	0.504268838641	0.222266764849	0.0611404912375
e	0.010524769414	0.0112523600398	0.0183981742772	0.0509309268451	0.123209826665	0.36087633608	0.335514515883	0.0892930819458
p	0.04830873724	0.00849499684507	0.0114920805144	0.0294451615017	0.101819795255	0.235486943227	0.414207988228	0.150744333462
r	0.0603861544367	0.00796245140789	0.00628287163213	0.0172018222739	0.041117326209	0.159780061156	0.480821332743	0.22644798914
ò	0.0208423794804	0.00466931830065	0.00648658748964	0.012177467048	0.0184048649943	0.0711512625453	0.626951135581	0.239316995686
n	0.0102667084403	0.0056993683893	0.00875438101928	0.00879053694787	0.0125425260088	0.0678044670618	0.712759183194	0.173382844429
t	0.0085191361531	0.00778455173598	0.00601988949023	0.00836158988716	0.00868434774627	0.0627466575673	0.696561371065	0.201322521463
o	0.00526607018418	0.00559848738767	0.00302982250776	0.00649012254029	0.0105612543338	0.0293200694408	0.581631421355	0.358102829674
</S>	0.00344642281589	0.00374017310924	0.00237201458441	0.00532954439301	0.0152505218045	0.0176362914779	0.494187701177	0.458037374837
