 	il	ladro	è	entrato	da	qui	</S>
o	0.843455515	0.13254317352	0.0111327053244	0.00232718140285	0.00260909479192	0.00199786374362	0.00593445612471
l	0.6131227112	0.324002819453	0.0200292061815	0.00370143546465	0.00707358490812	0.0162196848272	0.0158505580755
à	0.2976716938	0.625411722484	0.0234590823692	0.00454216447822	0.00856017740404	0.0208152894004	0.0195398700759
d	0.188778627467	0.756427110161	0.0257723579564	0.00633671812341	0.00329306150801	0.00775810608427	0.0116340002032
r	0.197304044822	0.667884682387	0.0702430658188	0.0229800426078	0.00543507473267	0.00606750223689	0.0300855613684
o	0.150210535754	0.414481876729	0.277636605806	0.0635196374693	0.0279272636442	0.00965676948603	0.0565672851355
i	0.0704129874211	0.174013917816	0.510049045535	0.0895635974898	0.0765930699814	0.0130129828957	0.0663543656152
m	0.0278783215702	0.0868724059987	0.437110156798	0.20608305143	0.108709632927	0.0301515335586	0.10319485241
b	0.0208150673101	0.0607417396862	0.267745135086	0.34457131921	0.0895474545757	0.0346270094862	0.181952237746
ì	0.0205270405767	0.0549324379621	0.229182056829	0.367925950203	0.133308617659	0.0288903142487	0.165233563406
k	0.0177720530676	0.0440327963674	0.19126395679	0.431682610734	0.175330953486	0.0315158423136	0.10840179821
e	0.024727674141	0.0231190499184	0.114487834915	0.343000132905	0.347657778162	0.0588533080819	0.088154255638
a	0.0211112641669	0.00823383427603	0.048431705623	0.131831253935	0.449682438054	0.274039263761	0.066670220386
p	0.00944165219997	0.00449027069534	0.0208003709757	0.0512522771917	0.294242373951	0.519504342587	0.100268685893
ò	0.00516604291543	0.00318543922578	0.00922375762657	0.0235016767306	0.17212199925	0.681726347529	0.105074773755
t	0.00303253498938	0.00289024238299	0.00603989083419	0.0179080790371	0.0901797359233	0.79197384451	0.0879756881517
t	0.0106357298855	0.00420398108406	0.0121666855567	0.0228354486393	0.0584146029478	0.725423958837	0.166319552671
u	0.0199240074846	0.00311528389617	0.0126956570481	0.0172594742677	0.0351185351066	0.544192123879	0.367694848944
</S>	0.0218158444875	0.00168847256032	0.00688537826785	0.00891937682571	0.0220339145393	0.43846455134	0.500192392472
